date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood
2016-10-18 10:37:21,MH07510468,10468,"ZIMMERMAN, Orville",75,House,(MO-10),Missouri,MO,10,100,-0.232,0.598,0.757,15,130,-36.27367
2016-10-18 10:37:21,MH07510350,10350,"WOODRUM, Clifton Alexander",75,House,(VA-06),Virginia,VA,6,100,-0.146,0.643,0.644,28,128,-56.34401
2016-10-18 10:37:21,MH07510348,10348,"WOODRUFF, Roy Orchard",75,House,(MI-10),Michigan,MI,10,200,0.351,0.369,0.797,10,144,-32.67433
2016-10-18 10:37:21,MH07510332,10332,"WOOD, Reuben Terrell",75,House,(MO-06),Missouri,MO,6,100,-0.294,-0.218,0.667,19,91,-36.80054
2016-10-18 10:37:21,MH07510314,10314,"WOLVERTON, Charles Anderson",75,House,(NJ-01),New Jersey,NJ,1,200,0.036,-0.609,0.669,23,144,-57.87652
2016-10-18 10:37:21,MH07510311,10311,"WOLFENDEN, James",75,House,(PA-08),Pennsylvania,PA,8,200,0.371,-0.55,0.842,6,136,-23.35322
2016-10-18 10:37:21,MH07510303,10303,"WOLCOTT, Jesse Paine",75,House,(MI-07),Michigan,MI,7,200,0.325,-0.297,0.827,14,144,-27.32168
2016-10-18 10:37:21,MH07510299,10299,"WITHROW, Gardner Robert",75,House,(WI-03),Wisconsin,WI,3,370,0.034,-0.084,0.547,45,134,-80.72478
2016-10-18 10:37:21,MH07510139,10139,"WILLIAMS, Clyde",75,House,(MO-08),Missouri,MO,8,100,-0.242,0.527,0.643,32,142,-62.7892
2016-10-18 10:37:21,MH07510100,10100,"WILCOX, James Mark",75,House,(FL-04),Florida,FL,4,100,-0.196,0.723,0.659,18,108,-45.02536
2016-10-18 10:37:21,MH07510095,10095,"WIGGLESWORTH, Richard Bowditch",75,House,(MA-13),Massachusetts,MA,13,200,0.267,-0.69,0.781,15,143,-35.33074
2016-10-18 10:37:21,MH07510077,10077,"WHITTINGTON, William Madison",75,House,(MS-03),Mississippi,MS,3,100,-0.05,0.947,0.718,23,150,-49.66803
2016-10-18 10:37:21,MH07510017,10017,"WHITE, Dudley Allen",75,House,(OH-13),Ohio,OH,13,200,0.34,-0.266,0.806,11,128,-27.53804
2016-10-18 10:37:21,MH07510015,10015,"WHITE, Compton Ignatius",75,House,(ID-01),Idaho,ID,1,100,-0.176,0.155,0.583,23,80,-43.15865
2016-10-18 10:37:21,MH07509997,9997,"WHELCHEL, Benjamin Frank",75,House,(GA-09),Georgia,GA,9,100,-0.075,0.974,0.659,20,88,-36.66132
2016-10-18 10:37:21,MH07509962,9962,"WEST, Milton Horace",75,House,(TX-15),Texas,TX,15,100,0.037,0.999,0.64,29,123,-54.9185
2016-10-18 10:37:21,MH07509952,9952,"WENE, Elmer H.",75,House,(NJ-02),New Jersey,NJ,2,100,-0.301,-0.181,0.678,18,114,-44.38261
2016-10-18 10:37:21,MH07509928,9928,"WELCH, Richard Joseph",75,House,(CA-05),California,CA,5,200,-0.173,-0.847,0.64,33,129,-57.6113
