date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,party_noun,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood
2017-01-10 02:15:54,MH09191043,91043,"RIEGLE, Donald Wayne, Jr.",91,House,(MI-07),Michigan,MI,7,200,,-0.073,-0.729,0.75,38,301,-86.68509
2017-01-10 02:15:54,MH09112048,12048,"WARE, John Haines, III",91,House,(PA-09),Pennsylvania,PA,9,200,,0.305,-0.269,0.772,7,59,-15.28373
2017-01-10 02:15:54,MH09112047,12047,"STEELE, Robert Hampton",91,House,(CT-02),Connecticut,CT,2,200,,-0.01,-0.434,0.738,7,51,-15.46703
2017-01-10 02:15:54,MH09112046,12046,"FORSYTHE, Edwin Bell",91,House,(NJ-06),New Jersey,NJ,6,200,,0.327,-0.945,0.742,6,66,-19.69723
2017-01-10 02:15:54,MH09112045,12045,"COLLINS, George Washington",91,House,(IL-06),Illinois,IL,6,100,,-0.628,0.045,0.7,8,37,-13.22296
2017-01-10 02:15:54,MH09112044,12044,"CARNEY, Charles Joseph",91,House,(OH-19),Ohio,OH,19,100,,-0.48,0.294,0.846,3,58,-9.68901
2017-01-10 02:15:54,MH09112043,12043,"SCHMITZ, John George",91,House,(CA-35),California,CA,35,200,,0.9,0.435,0.838,15,124,-21.90921
2017-01-10 02:15:54,MH09112042,12042,"ROE, Robert A.",91,House,(NJ-08),New Jersey,NJ,8,100,,-0.326,0.126,0.753,30,222,-62.94725
2017-01-10 02:15:54,MH09112041,12041,"CRANE, Philip Miller",91,House,(IL-13),Illinois,IL,13,200,,0.739,0.024,0.701,43,207,-73.58342
2017-01-10 02:15:54,MH09112040,12040,"HARRINGTON, Michael Joseph",91,House,(MA-06),Massachusetts,MA,6,100,,-0.475,-0.826,0.842,20,247,-42.33407
2017-01-10 02:15:54,MH09112039,12039,"MELCHER, John",91,House,(MT-02),Montana,MT,2,100,,-0.329,0.399,0.683,49,289,-110.01005
2017-01-10 02:15:54,MH09112038,12038,"JONES, Ed",91,House,(TN-08),Tennessee,TN,8,100,,-0.246,0.833,0.753,27,268,-75.89116
2017-01-10 02:15:54,MH09112037,12037,"GOLDWATER, Barry Morris, Jr.",91,House,(CA-27),California,CA,27,200,,0.355,-0.024,0.779,27,238,-59.47218
2017-01-10 02:15:54,MH09112036,12036,"OBEY, David Ross",91,House,(WI-07),Wisconsin,WI,7,100,,-0.451,-0.056,0.655,59,324,-137.02908
2017-01-10 02:15:54,MH09112035,12035,"YATRON, Gus",91,House,(PA-06),Pennsylvania,PA,6,100,,-0.174,0.095,0.755,41,325,-91.35985
2017-01-10 02:15:54,MH09112034,12034,"WOLD, John Schiller",91,House,(WY-01),Wyoming,WY,1,200,,0.391,-0.229,0.751,33,258,-74.00915
2017-01-10 02:15:54,MH09112033,12033,"WHITEHURST, George William",91,House,(VA-02),Virginia,VA,2,200,,0.233,0.06,0.724,45,318,-102.51608
2017-01-10 02:15:54,MH09112032,12032,"WEICKER, Lowell Palmer, Jr.",91,House,(CT-04),Connecticut,CT,4,200,,0.072,-0.988,0.61,51,235,-116.3082
2017-01-10 02:15:54,MH09112031,12031,"SYMINGTON, James Wadsworth",91,House,(MO-02),Missouri,MO,2,100,,-0.331,0.077,0.776,30,297,-75.23985
2017-01-10 02:15:54,MH09112030,12030,"STOKES, Louis",91,House,(OH-21),Ohio,OH,21,100,,-0.577,-0.31,0.826,25,312,-59.52148
2017-01-10 02:15:54,MH09112029,12029,"SEBELIUS, Keith George",91,House,(KS-01),Kansas,KS,1,200,,0.276,0.135,0.787,29,306,-73.3085
2017-01-10 02:15:54,MH09112028,12028,"RUTH, Earl Baker",91,House,(NC-08),North Carolina,NC,8,200,,0.297,0.37,0.801,28,327,-72.56867
2017-01-10 02:15:54,MH09112027,12027,"PREYER, Lunsford Richardson",91,House,(NC-06),North Carolina,NC,6,100,,-0.271,0.332,0.769,43,328,-86.10055
2017-01-10 02:15:54,MH09112026,12026,"MIZELL, Wilmer David (Vinegar Bend)",91,House,(NC-05),North Carolina,NC,5,200,,0.244,0.313,0.778,35,336,-84.25123
2017-01-10 02:15:54,MH09112025,12025,"MIKVA, Abner Joseph",91,House,(IL-02),Illinois,IL,2,100,,-0.439,-0.549,0.7,37,323,-115.32428
2017-01-10 02:15:54,MH09112024,12024,"McKNEALLY, Martin Boswell",91,House,(NY-27),New York,NY,27,200,,0.105,-0.061,0.73,42,260,-81.72598
2017-01-10 02:15:54,MH09112023,12023,"MANN, James Robert",91,House,(SC-04),South Carolina,SC,4,100,,-0.033,0.429,0.698,47,284,-102.15172
2017-01-10 02:15:54,MH09112022,12022,"LUJÁN, Manuel, Jr.",91,House,(NM-01),New Mexico,NM,1,200,,0.272,-0.058,0.629,53,257,-119.15553
2017-01-10 02:15:54,MH09112021,12021,"LOWENSTEIN, Allard Kenneth",91,House,(NY-05),New York,NY,5,100,,-0.694,-0.184,0.794,35,302,-69.7281
2017-01-10 02:15:54,MH09112020,12020,"LANDGREBE, Earl Fredrick",91,House,(IN-02),Indiana,IN,2,200,,0.795,0.119,0.742,51,310,-92.57784
2017-01-10 02:15:54,MH09112019,12019,"KOCH, Edward Irving",91,House,(NY-17),New York,NY,17,100,,-0.462,-0.655,0.859,21,341,-51.91853
2017-01-10 02:15:54,MH09112018,12018,"HOGAN, Lawrence Joseph",91,House,(MD-05),Maryland,MD,5,200,,0.158,-0.042,0.712,61,341,-115.8438
2017-01-10 02:15:54,MH09112017,12017,"HASTINGS, James Fred",91,House,(NY-38),New York,NY,38,200,,0.235,-0.259,0.748,35,285,-82.84077
2017-01-10 02:15:54,MH09112016,12016,"HANSEN, Orval Howard",91,House,(ID-02),Idaho,ID,2,200,,0.156,-0.268,0.709,45,313,-107.56844
2017-01-10 02:15:54,MH09112015,12015,"FREY, Louis, Jr.",91,House,(FL-05),Florida,FL,5,200,,0.244,-0.026,0.76,35,316,-86.72976
2017-01-10 02:15:54,MH09112014,12014,"FLOWERS, Walter",91,House,(AL-05),Alabama,AL,5,100,,-0.148,0.72,0.73,48,320,-100.90782
2017-01-10 02:15:54,MH09112013,12013,"FISH, Hamilton, Jr.",91,House,(NY-28),New York,NY,28,200,,0.07,-0.421,0.726,40,294,-94.25477
2017-01-10 02:15:54,MH09112012,12012,"DENNIS, David Worth",91,House,(IN-10),Indiana,IN,10,200,,0.511,-0.242,0.666,61,334,-135.99004
2017-01-10 02:15:54,MH09112011,12011,"DANIEL, Wilbur Clarence (Dan)",91,House,(VA-05),Virginia,VA,5,100,,0.16,0.778,0.78,34,341,-84.81375
2017-01-10 02:15:54,MH09112010,12010,"COUGHLIN, Robert Lawrence",91,House,(PA-13),Pennsylvania,PA,13,200,,0.205,-0.844,0.737,46,335,-102.29094
2017-01-10 02:15:54,MH09112009,12009,"CLAY, William Lacy, Sr.",91,House,(MO-01),Missouri,MO,1,100,,-0.488,-0.873,0.815,19,242,-49.39054
2017-01-10 02:15:54,MH09112008,12008,"CHISHOLM, Shirley Anita",91,House,(NY-12),New York,NY,12,100,,-0.604,-0.317,0.703,31,224,-78.996
2017-01-10 02:15:54,MH09112007,12007,"CHAPPELL, William Venroe, Jr.",91,House,(FL-04),Florida,FL,4,100,,-0.099,0.922,0.734,44,317,-97.98205
2017-01-10 02:15:54,MH09112006,12006,"CAMP, John Newbold Happy",91,House,(OK-06),Oklahoma,OK,6,200,,0.407,0.365,0.729,43,306,-96.82287
2017-01-10 02:15:54,MH09112005,12005,"CAFFERY, Patrick Thomson",91,House,(LA-03),Louisiana,LA,3,100,,-0.136,0.932,0.756,37,299,-83.53214
2017-01-10 02:15:54,MH09112004,12004,"BURLISON, Bill D.",91,House,(MO-10),Missouri,MO,10,100,,-0.475,0.88,0.622,77,324,-153.72897
2017-01-10 02:15:54,MH09112003,12003,"BIAGGI, Mario",91,House,(NY-24),New York,NY,24,100,,-0.34,0.201,0.682,48,298,-114.14237
2017-01-10 02:15:54,MH09112002,12002,"BEALL, John Glenn, Jr.",91,House,(MD-06),Maryland,MD,6,200,,0.194,-0.589,0.746,46,320,-93.92734
2017-01-10 02:15:54,MH09112001,12001,"ANDERSON, Glenn Malcolm",91,House,(CA-17),California,CA,17,100,,-0.268,-0.052,0.734,45,331,-102.22088
2017-01-10 02:15:54,MH09112000,12000,"ALEXANDER, William Vollie (Bill), Jr.",91,House,(AR-01),Arkansas,AR,1,100,,-0.412,0.824,0.683,60,299,-114.097
2017-01-10 02:15:54,MH09111067,11067,"GAYDOS, Joseph Matthew",91,House,(PA-20),Pennsylvania,PA,20,100,,-0.279,0.402,0.662,67,306,-126.01416
2017-01-10 02:15:54,MH09111066,11066,"COLLINS, James Mitchell",91,House,(TX-03),Texas,TX,3,200,,0.679,0.121,0.699,52,316,-113.26895
2017-01-10 02:15:54,MH09111065,11065,"GRIFFIN, Charles Hudson",91,House,(MS-03),Mississippi,MS,3,100,,-0.069,0.998,0.759,40,319,-87.82629
2017-01-10 02:15:54,MH09111064,11064,"PODELL, Bertram L.",91,House,(NY-13),New York,NY,13,100,,-0.469,-0.213,0.815,29,308,-62.83933
2017-01-10 02:15:54,MH09111063,11063,"McCLOSKEY, Paul Norton , Jr. (Pete)",91,House,(CA-11),California,CA,11,200,,0.029,-0.635,0.629,68,292,-135.15561
2017-01-10 02:15:54,MH09111062,11062,"PRICE, Robert Dale",91,House,(TX-18),Texas,TX,18,200,,0.303,0.522,0.776,33,307,-77.9567
2017-01-10 02:15:54,MH09111061,11061,"TIERNAN, Robert Owens",91,House,(RI-02),Rhode Island,RI,2,100,,-0.395,-0.023,0.837,20,313,-55.82467
2017-01-10 02:15:54,MH09111060,11060,"ZWACH, John Matthew",91,House,(MN-06),Minnesota,MN,6,200,,0.181,-0.257,0.678,59,313,-121.49064
2017-01-10 02:15:54,MH09111059,11059,"ZION, Roger Herschel",91,House,(IN-08),Indiana,IN,8,200,,0.285,0.138,0.776,38,324,-82.09618
2017-01-10 02:15:54,MH09111058,11058,"WYLIE, Chalmers Pangburn",91,House,(OH-15),Ohio,OH,15,200,,0.23,-0.128,0.671,64,332,-132.70703
2017-01-10 02:15:54,MH09111057,11057,"WINN, Edward Lawrence, Jr. (Larry)",91,House,(KS-03),Kansas,KS,3,200,,0.247,-0.032,0.763,34,305,-82.55303
2017-01-10 02:15:54,MH09111056,11056,"WILLIAMS, Lawrence Gordon",91,House,(PA-07),Pennsylvania,PA,7,200,,0.197,-0.051,0.729,49,337,-106.60514
2017-01-10 02:15:54,MH09111055,11055,"WIGGINS, Charles Edward",91,House,(CA-25),California,CA,25,200,,0.359,-0.284,0.656,60,296,-124.62572
2017-01-10 02:15:54,MH09111054,11054,"WHALEN, Charles William, Jr.",91,House,(OH-03),Ohio,OH,3,200,,-0.137,-0.714,0.761,38,329,-89.82326
2017-01-10 02:15:54,MH09111053,11053,"THOMPSON, Standish Fletcher",91,House,(GA-05),Georgia,GA,5,200,,0.188,0.373,0.711,49,322,-109.86616
2017-01-10 02:15:54,MH09111052,11052,"STUCKEY, Williamson Sylvester, Jr.",91,House,(GA-08),Georgia,GA,8,100,,-0.116,0.753,0.776,26,293,-74.20935
2017-01-10 02:15:54,MH09111051,11051,"STEIGER, William Albert",91,House,(WI-06),Wisconsin,WI,6,200,,0.337,-0.759,0.642,76,321,-142.10158
2017-01-10 02:15:54,MH09111050,11050,"STEIGER, Sam",91,House,(AZ-03),Arizona,AZ,3,200,,0.447,0.244,0.677,56,321,-125.15321
2017-01-10 02:15:54,MH09111048,11048,"SCOTT, William Lloyd",91,House,(VA-08),Virginia,VA,8,200,,0.421,0.384,0.685,63,346,-130.73612
2017-01-10 02:15:54,MH09111047,11047,"SCHERLE, William Joseph",91,House,(IA-07),Iowa,IA,7,200,,0.361,0.396,0.714,46,313,-105.31454
2017-01-10 02:15:54,MH09111046,11046,"SANDMAN, Charles William, Jr.",91,House,(NJ-02),New Jersey,NJ,2,200,,0.139,-0.04,0.701,45,294,-104.36544
2017-01-10 02:15:54,MH09111045,11045,"RUPPE, Philip Edward",91,House,(MI-11),Michigan,MI,11,200,,0.17,-0.42,0.68,46,265,-102.10286
2017-01-10 02:15:54,MH09111044,11044,"ROTH, William Victor, Jr.",91,House,(DE-01),Delaware,DE,1,200,,0.272,-0.389,0.746,47,346,-101.18218
2017-01-10 02:15:54,MH09111042,11042,"RARICK, John Richard",91,House,(LA-06),Louisiana,LA,6,100,,0.327,0.945,0.666,49,302,-122.8963
