date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,party_noun,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood,party_short_name,party_color,party_name
2016-10-18 10:31:20,MH00310280,10280,"WINSTON, Joseph",3,House,(NC-03),North Carolina,NC,3,4000,Anti-Administration,-0.111,-0.048,0.662,15,68,-28.0967,Anti-Administration,red,Anti-Administration Party
2016-10-18 10:31:20,MH00310275,10275,"WINN, Richard",3,House,(SC-04),South Carolina,SC,4,4000,Anti-Administration,-0.19,0.179,0.356,33,60,-61.92799,Anti-Administration,red,Anti-Administration Party
2016-10-18 10:31:20,MH00310272,10272,"WINGATE, Paine",3,House,(NH-00),New Hampshire,NH,98,5000,Pro-Administration,-0.035,0.999,0.504,14,31,-21.24312,Pro-Administration,blue,Pro-Administration Party
2016-10-18 10:31:20,MH00310136,10136,"WILLIAMS, Benjamin",3,House,(NC-10),North Carolina,NC,10,4000,Anti-Administration,-0.161,0.937,0.665,10,59,-24.07946,Anti-Administration,red,Anti-Administration Party
2016-10-18 10:31:20,MH00309881,9881,"WATTS, John",3,House,(NY-01),New York,NY,1,5000,Pro-Administration,0.787,0.617,0.86,5,62,-9.36436,Pro-Administration,blue,Pro-Administration Party
2016-10-18 10:31:20,MH00309808,9808,"WARD, Artemas",3,House,(MA-02),Massachusetts,MA,2,5000,Pro-Administration,0.829,-0.559,0.762,5,47,-12.75234,Pro-Administration,blue,Pro-Administration Party
2016-10-18 10:31:20,MH00309739,9739,"WALKER, Francis",3,House,(VA-14),Virginia,VA,14,4000,Anti-Administration,-0.5,-0.47,0.908,1,66,-6.36949,Anti-Administration,red,Anti-Administration Party
2016-10-18 10:31:20,MH00309707,9707,"WADSWORTH, Peleg",3,House,(MA-04),Massachusetts,MA,4,5000,Pro-Administration,0.654,-0.175,0.846,2,64,-10.73222,Pro-Administration,blue,Pro-Administration Party
2016-10-18 10:31:20,MH00309706,9706,"WADSWORTH, Jeremiah",3,House,(CT-00),Connecticut,CT,98,5000,Pro-Administration,0.74,0.197,0.851,3,51,-8.20765,Pro-Administration,blue,Pro-Administration Party
2016-10-18 10:31:20,MH00309658,9658,"VENABLE, Abraham Bedford",3,House,(VA-07),Virginia,VA,7,4000,Anti-Administration,-0.245,0.073,0.713,10,64,-21.60757,Anti-Administration,red,Anti-Administration Party
