date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,party_noun,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood
2017-01-22 15:24:17,MH05107431,7431,"PICKLER, John Alfred",51,House,(SD-00),South Dakota,SD,98,200,,0.263,0.659,0.807,40,373,-80.02816
2017-01-22 15:24:17,MH05103570,3570,"GIFFORD, Oscar Sherman",51,House,(SD-00),South Dakota,SD,98,200,,0.484,0.817,0.881,11,254,-32.1947
2017-01-22 15:24:17,MH05105408,5408,"LAIDLAW, William Grant",51,House,(NY-34),New York,NY,34,200,,0.441,-0.001,0.9,20,414,-43.73541
2017-01-22 15:24:17,MH05110113,10113,"WILEY, John McClure",51,House,(NY-33),New York,NY,33,100,,-0.211,-0.939,0.777,23,203,-51.13598
2017-01-22 15:24:17,MH05103066,3066,"FARQUHAR, John McCreath",51,House,(NY-32),New York,NY,32,200,,0.406,-0.344,0.92,14,498,-41.54906
2017-01-22 15:24:17,MH05108236,8236,"SAWYER, John Gilbert",51,House,(NY-31),New York,NY,31,200,,0.477,-0.385,0.867,22,354,-50.46946
2017-01-22 15:24:17,MH05100359,359,"BAKER, Charles Simeon",51,House,(NY-30),New York,NY,30,200,,0.402,-0.318,0.897,21,423,-45.89668
2017-01-22 15:24:17,MH05107690,7690,"RAINES, John",51,House,(NY-29),New York,NY,29,200,,0.452,-0.046,0.907,16,390,-38.18698
2017-01-22 15:24:17,MH05105204,5204,"KERR, James",51,House,(PA-28),Pennsylvania,PA,28,100,,-0.388,-0.449,0.783,28,242,-59.32473
2017-01-22 15:24:17,MH05103227,3227,"FLOOD, Thomas Schmeck",51,House,(NY-28),New York,NY,28,200,,0.335,0.104,0.836,18,243,-43.49138
2017-01-22 15:24:17,MH05106989,6989,"NUTTING, Newton Wright",51,House,(NY-27),New York,NY,27,200,,0.348,0.25,,,,
2017-01-22 15:24:17,MH05108975,8975,"STONE, Charles Warren",51,House,(PA-27),Pennsylvania,PA,27,200,,0.441,-0.096,0.904,4,131,-13.17916
2017-01-22 15:24:17,MH05109876,9876,"WATSON, Lewis Findlay",51,House,(PA-27),Pennsylvania,PA,27,200,,0.487,-0.168,0.93,2,153,-11.13069
2017-01-22 15:24:17,MH05107273,7273,"PAYNE, Sereno Elisha",51,House,(NY-27),New York,NY,27,200,,0.518,-0.163,0.921,16,460,-37.61574
2017-01-22 15:24:17,MH05102231,2231,"CULBERTSON, William Constantine",51,House,(PA-26),Pennsylvania,PA,26,200,,0.561,-0.037,0.926,9,456,-35.12645
2017-01-22 15:24:17,MH05102480,2480,"DE LANO, Milton",51,House,(NY-26),New York,NY,26,200,,0.661,0.741,0.868,14,220,-31.1711
2017-01-22 15:24:17,MH05109433,9433,"TOWNSEND, Charles Champlain",51,House,(PA-25),Pennsylvania,PA,25,200,,0.567,-0.054,0.925,10,389,-30.3717
2017-01-22 15:24:17,MH05100592,592,"BELDEN, James Jerome",51,House,(NY-25),New York,NY,25,200,,0.5,-0.151,0.914,12,303,-27.19826
2017-01-22 15:24:17,MH05110097,10097,"WILBER, David",51,House,(NY-24),New York,NY,24,200,,0.514,-0.419,,,,
2017-01-22 15:24:17,MH05107750,7750,"RAY, Joseph Warren",51,House,(PA-24),Pennsylvania,PA,24,200,,0.488,0.686,0.869,25,423,-59.47914
2017-01-22 15:24:17,MH05107460,7460,"PINDAR, John Sigsbee",51,House,(NY-24),New York,NY,24,100,,-0.277,-0.036,0.678,22,111,-43.08014
2017-01-22 15:24:17,MH05100536,536,"BAYNE, Thomas McKee",51,House,(PA-23),Pennsylvania,PA,23,200,,0.309,0.022,0.874,22,399,-53.59869
2017-01-22 15:24:17,MH05108453,8453,"SHERMAN, James Schoolcraft",51,House,(NY-23),New York,NY,23,200,,0.408,-0.439,0.837,27,374,-66.65564
2017-01-22 15:24:17,MH05102310,2310,"DALZELL, John",51,House,(PA-22),Pennsylvania,PA,22,200,,0.572,-0.314,0.925,12,398,-30.89784
2017-01-22 15:24:17,MH05105467,5467,"LANSING, Frederick",51,House,(NY-22),New York,NY,22,200,,0.544,-0.593,0.92,7,277,-23.09613
2017-01-22 15:24:17,MH05102136,2136,"CRAIG, Samuel Alfred",51,House,(PA-21),Pennsylvania,PA,21,200,,0.427,0.195,0.892,15,390,-44.63698
2017-01-22 15:24:17,MH05101322,1322,"BURTON, Theodore Elijah",51,House,(OH-21),Ohio,OH,21,200,,0.417,0.055,0.836,37,501,-89.50308
2017-01-22 15:24:17,MH05106583,6583,"MOFFITT, John Henry",51,House,(NY-21),New York,NY,21,200,,0.485,-0.325,0.944,8,464,-26.80248
2017-01-22 15:24:17,MH05108329,8329,"SCULL, Edward",51,House,(PA-20),Pennsylvania,PA,20,200,,0.5,-0.132,0.907,20,495,-48.34834
