date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,dim1,dim2,log_likelihood,conditional,bioImgURL
2017-01-09 23:57:56,MH11539308,39308,"GOODLATTE, Robert William",115,House,(VA-06),Virginia,VA,6,200,0.493,0.01,4363.206,1,039308.jpg
2017-01-09 23:57:56,MH11539307,39307,"SCOTT, Robert C.",115,House,(VA-03),Virginia,VA,3,100,-0.456,0.013,4446.475,1,039307.jpg
2017-01-09 23:57:56,MH11539305,39305,"JOHNSON, Eddie Bernice",115,House,(TX-30),Texas,TX,30,100,-0.487,0.21,4285.307,1,039305.jpg
2017-01-09 23:57:56,MH11539304,39304,"GREEN, Raymond Eugene (Gene)",115,House,(TX-29),Texas,TX,29,100,-0.327,0.464,5903.26,1,039304.jpg
2017-01-09 23:57:56,MH11539301,39301,"CLYBURN, James Enos",115,House,(SC-06),South Carolina,SC,6,100,-0.467,0.275,4226.531,1,039301.jpg
2017-01-09 23:57:56,MH11531103,31103,"PAYNE, Donald, Jr.",115,House,(NJ-10),New Jersey,NJ,10,100,-0.514,-0.106,392.054,1,031103.jpg
2017-01-09 23:57:56,MH11531102,31102,"MASSIE, Thomas",115,House,(KY-04),Kentucky,KY,4,200,0.658,-0.753,1228.566,1,031102.jpg
2017-01-09 23:57:56,MH11531101,31101,"DelBENE, Suzan K.",115,House,(WA-01),Washington,WA,1,100,-0.28,-0.193,491.786,1,031101.jpg
2017-01-09 23:57:56,MH11529939,29939,"RYAN, Paul D.",115,House,(WI-01),Wisconsin,WI,1,200,0.547,-0.208,3367.609,1,029939.jpg
2017-01-09 23:57:56,MH11529932,29932,"WALDEN, Greg",115,House,(OR-02),Oregon,OR,2,200,0.337,-0.012,3571.695,1,029932.jpg
2017-01-09 23:57:56,MH11529925,29925,"CROWLEY, Joseph",115,House,(NY-14),New York,NY,14,100,-0.406,-0.072,3165.716,1,029925.jpg
2017-01-09 23:57:56,MH11529919,29919,"CAPUANO, Michael Everett",115,House,(MA-07),Massachusetts,MA,7,100,-0.584,-0.079,3230.989,1,029919.jpg
2017-01-09 23:57:56,MH11529911,29911,"SCHAKOWSKY, Janice D.",115,House,(IL-09),Illinois,IL,9,100,-0.607,-0.243,2905.122,1,029911.jpg
2017-01-09 23:57:56,MH11529910,29910,"SIMPSON, Michael K.",115,House,(ID-02),Idaho,ID,2,200,0.29,0.293,3473.778,1,029910.jpg
2017-01-09 23:57:56,MH11529908,29908,"LARSON, John B.",115,House,(CT-01),Connecticut,CT,1,100,-0.399,-0.054,3067.084,1,029908.jpg
2017-01-09 23:57:56,MH11529903,29903,"NAPOLITANO, Grace Flores",115,House,(CA-32),California,CA,32,100,-0.451,-0.228,2882.855,1,029903.jpg
2017-01-09 23:57:56,MH11529901,29901,"THOMPSON, Michael",115,House,(CA-05),California,CA,5,100,-0.397,0.067,3844.048,1,029901.jpg
2017-01-09 23:57:56,MH11529778,29778,"LEE, Barbara",115,House,(CA-13),California,CA,13,100,-0.673,-0.516,2902.532,1,029778.jpg
2017-01-09 23:57:56,MH11529777,29777,"BRADY, Robert A.",115,House,(PA-01),Pennsylvania,PA,1,100,-0.486,0.209,3212.302,1,029777.jpg
2017-01-09 23:57:56,MH11529776,29776,"MEEKS, Gregory W.",115,House,(NY-05),New York,NY,5,100,-0.418,-0.065,3197.624,1,029776.jpg
2017-01-09 23:57:56,MH11529769,29769,"KIND, Ron",115,House,(WI-03),Wisconsin,WI,3,100,-0.269,-0.07,4729.248,1,029769.jpg
