date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood,bioImgURL
2017-01-10 01:21:38,MS00110272,10272,"WINGATE, Paine",1,Senate,(NH),New Hampshire,NH,0,4000,-0.035,0.999,0.73,19,98,-30.84329,010272.jpg
2017-01-10 01:21:38,MS00109747,9747,"WALKER, John",1,Senate,(VA),Virginia,VA,0,5000,-0.597,-0.802,0.582,17,58,-31.38218,009747.jpg
2017-01-10 01:21:38,MS00109028,9028,"STRONG, Caleb",1,Senate,(MA),Massachusetts,MA,0,5000,0.576,0.818,0.77,10,82,-21.40431,009028.jpg
2017-01-10 01:21:38,MS00108845,8845,"STANTON, Joseph, Jr.",1,Senate,(RI),Rhode Island,RI,0,4000,-0.092,0.726,0.686,11,61,-22.97336,silhouette.png
2017-01-10 01:21:38,MS00108282,8282,"SCHUYLER, Philip John",1,Senate,(NY),New York,NY,0,5000,0.948,-0.318,0.766,12,94,-25.09114,008282.jpg
2017-01-10 01:21:38,MS00107762,7762,"READ, George",1,Senate,(DE),Delaware,DE,0,5000,0.281,-0.228,0.7,15,96,-34.29311,007762.jpg
2017-01-10 01:21:38,MS00107231,7231,"PATERSON, William",1,Senate,(NJ),New Jersey,NJ,0,5000,0.963,0.269,0.754,8,72,-20.31441,007231.jpg
2017-01-10 01:21:38,MS00106712,6712,"MORRIS, Robert",1,Senate,(PA),Pennsylvania,PA,0,5000,0.698,-0.671,0.658,27,97,-40.65804,006712.jpg
2017-01-10 01:21:38,MS00106594,6594,"MONROE, James",1,Senate,(VA),Virginia,VA,0,4000,-0.515,-0.751,0.776,4,52,-13.16916,006594.jpg
2017-01-10 01:21:38,MS00105891,5891,"MACLAY, William",1,Senate,(PA),Pennsylvania,PA,0,4000,-0.692,0.531,0.744,7,79,-23.36292,005891.jpg
2017-01-10 01:21:38,MS00105565,5565,"LEE, Richard Henry",1,Senate,(VA),Virginia,VA,0,4000,-0.386,-0.523,0.735,9,91,-28.06528,005565.jpg
2017-01-10 01:21:38,MS00105449,5449,"LANGDON, John",1,Senate,(NH),New Hampshire,NH,0,5000,-0.372,0.114,0.4,30,83,-76.10532,005449.jpg
2017-01-10 01:21:38,MS00105270,5270,"KING, Rufus",1,Senate,(NY),New York,NY,0,5000,0.577,-0.302,0.683,16,96,-36.64862,005270.jpg
2017-01-10 01:21:38,MS00105012,5012,"JOHNSTON, Samuel",1,Senate,(NC),North Carolina,NC,0,5000,-0.021,-0.521,0.621,19,77,-36.72219,005012.jpg
2017-01-10 01:21:38,MS00104998,4998,"JOHNSON, William Samuel",1,Senate,(CT),Connecticut,CT,0,5000,0.993,0.115,0.693,15,82,-30.06811,004998.jpg
2017-01-10 01:21:38,MS00104837,4837,"IZARD, Ralph",1,Senate,(SC),South Carolina,SC,0,5000,0.45,-0.577,0.602,27,99,-50.1801,004837.jpg
2017-01-10 01:21:38,MS00104333,4333,"HENRY, John",1,Senate,(MD),Maryland,MD,0,5000,0.124,-0.562,0.638,29,97,-43.6231,silhouette.png
2017-01-10 01:21:38,MS00104212,4212,"HAWKINS, Benjamin",1,Senate,(NC),North Carolina,NC,0,5000,-0.044,-0.657,0.635,15,73,-33.11944,004212.jpg
2017-01-10 01:21:38,MS00103877,3877,"GUNN, James",1,Senate,(GA),Georgia,GA,0,4000,0.219,-0.874,0.492,31,83,-58.81935,silhouette.png
2017-01-10 01:21:38,MS00103771,3771,"GRAYSON, William",1,Senate,(VA),Virginia,VA,0,4000,,,,,,,003771.jpg
2017-01-10 01:21:38,MS00103315,3315,"FOSTER, Theodore",1,Senate,(RI),Rhode Island,RI,0,5000,0.287,0.668,0.658,10,61,-25.49027,003315.jpg
2017-01-10 01:21:38,MS00103128,3128,"FEW, William",1,Senate,(GA),Georgia,GA,0,4000,-0.51,-0.433,0.627,25,85,-39.68964,003128.jpg
2017-01-10 01:21:38,MS00102943,2943,"ELMER, Jonathan",1,Senate,(NJ),New Jersey,NJ,0,5000,0.408,0.181,0.632,24,86,-39.45427,silhouette.png
2017-01-10 01:21:38,MS00102936,2936,"ELLSWORTH, Oliver",1,Senate,(CT),Connecticut,CT,0,5000,0.531,0.784,0.777,9,97,-24.47578,002936.jpg
2017-01-10 01:21:38,MS00102576,2576,"DICKINSON, Philemon",1,Senate,(NJ),New Jersey,NJ,0,5000,0.61,-0.683,0.781,3,50,-12.39027,002576.jpg
2017-01-10 01:21:38,MS00102307,2307,"DALTON, Tristram",1,Senate,(MA),Massachusetts,MA,0,5000,0.786,0.619,0.749,14,99,-28.54827,002307.jpg
2017-01-10 01:21:38,MS00101536,1536,"CARROLL, Charles (of Carrollton)",1,Senate,(MD),Maryland,MD,0,5000,0.235,-0.603,0.556,20,95,-55.70842,001536.jpg
2017-01-10 01:21:38,MS00101346,1346,"BUTLER, Pierce",1,Senate,(SC),South Carolina,SC,0,5000,-0.408,-0.899,0.634,30,95,-43.32825,001346.jpg
2017-01-10 01:21:38,MS00100507,507,"BASSETT, Richard",1,Senate,(DE),Delaware,DE,0,4000,0.084,0.021,0.658,23,90,-37.70794,000507.jpg
