date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,party_noun,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood,party_short_name,party_color,party_name
2016-10-18 10:34:30,MS00210272,10272,"WINGATE, Paine",2,Senate,(NH),New Hampshire,NH,0,4000,Anti-Administration,-0.035,0.999,0.869,3,51,-7.13571,Anti-Administration,red,Anti-Administration Party
2016-10-18 10:34:30,MS00209215,9215,"TAYLOR, John",2,Senate,(VA),Virginia,VA,0,4000,Anti-Administration,-0.772,-0.6,0.943,1,35,-2.04573,Anti-Administration,red,Anti-Administration Party
2016-10-18 10:34:30,MS00209028,9028,"STRONG, Caleb",2,Senate,(MA),Massachusetts,MA,0,5000,Pro-Administration,0.576,0.818,0.743,8,45,-13.34696,Pro-Administration,blue,Pro-Administration Party
2016-10-18 10:34:30,MS00208845,8845,"STANTON, Joseph, Jr.",2,Senate,(RI),Rhode Island,RI,0,4000,Anti-Administration,-0.092,0.726,0.637,11,50,-22.57075,Anti-Administration,red,Anti-Administration Party
2016-10-18 10:34:30,MS00208457,8457,"SHERMAN, Roger",2,Senate,(CT),Connecticut,CT,0,5000,Pro-Administration,0.591,0.303,0.58,19,52,-28.34002,Pro-Administration,blue,Pro-Administration Party
2016-10-18 10:34:30,MS00208150,8150,"RUTHERFURD, John",2,Senate,(NJ),New Jersey,NJ,0,5000,Pro-Administration,0.88,-0.246,0.642,11,44,-19.50331,Pro-Administration,blue,Pro-Administration Party
2016-10-18 10:34:30,MS00207989,7989,"ROBINSON, Moses",2,Senate,(VT),Vermont,VT,0,4000,Anti-Administration,-0.734,0.637,0.835,5,49,-8.84094,Anti-Administration,red,Anti-Administration Party
2016-10-18 10:34:30,MS00207762,7762,"READ, George",2,Senate,(DE),Delaware,DE,0,5000,Pro-Administration,0.281,-0.228,0.645,10,52,-22.80475,Pro-Administration,blue,Pro-Administration Party
2016-10-18 10:34:30,MS00207564,7564,"POTTS, Richard",2,Senate,(MD),Maryland,MD,0,5000,Pro-Administration,0.412,-0.818,0.726,11,68,-21.77358,Pro-Administration,blue,Pro-Administration Party
2016-10-18 10:34:30,MS00206712,6712,"MORRIS, Robert",2,Senate,(PA),Pennsylvania,PA,0,5000,Pro-Administration,0.698,-0.671,0.794,3,50,-11.50687,Pro-Administration,blue,Pro-Administration Party
2016-10-18 10:34:30,MS00206594,6594,"MONROE, James",2,Senate,(VA),Virginia,VA,0,4000,Anti-Administration,-0.515,-0.751,0.776,4,52,-13.16916,Anti-Administration,red,Anti-Administration Party
2016-10-18 10:34:30,MS00205565,5565,"LEE, Richard Henry",2,Senate,(VA),Virginia,VA,0,4000,Anti-Administration,-0.386,-0.523,0.703,4,32,-11.26115,Anti-Administration,red,Anti-Administration Party
2016-10-18 10:34:30,MS00205449,5449,"LANGDON, John",2,Senate,(NH),New Hampshire,NH,0,5000,Pro-Administration,-0.372,0.114,0.622,12,48,-22.80628,Pro-Administration,blue,Pro-Administration Party
2016-10-18 10:34:30,MS00205270,5270,"KING, Rufus",2,Senate,(NY),New York,NY,0,5000,Pro-Administration,0.577,-0.302,0.62,13,46,-22.02307,Pro-Administration,blue,Pro-Administration Party
2016-10-18 10:34:30,MS00205012,5012,"JOHNSTON, Samuel",2,Senate,(NC),North Carolina,NC,0,5000,Pro-Administration,-0.021,-0.521,0.707,7,52,-18.01703,Pro-Administration,blue,Pro-Administration Party
2016-10-18 10:34:30,MS00204837,4837,"IZARD, Ralph",2,Senate,(SC),South Carolina,SC,0,5000,Pro-Administration,0.45,-0.577,0.743,5,51,-15.1756,Pro-Administration,blue,Pro-Administration Party
2016-10-18 10:34:30,MS00204333,4333,"HENRY, John",2,Senate,(MD),Maryland,MD,0,5000,Pro-Administration,0.124,-0.562,0.786,3,51,-12.29181,Pro-Administration,blue,Pro-Administration Party
2016-10-18 10:34:30,MS00204212,4212,"HAWKINS, Benjamin",2,Senate,(NC),North Carolina,NC,0,4000,Anti-Administration,-0.044,-0.657,0.769,5,51,-13.38354,Anti-Administration,red,Anti-Administration Party
2016-10-18 10:34:30,MS00203877,3877,"GUNN, James",2,Senate,(GA),Georgia,GA,0,4000,Anti-Administration,0.219,-0.874,0.702,8,45,-15.91951,Anti-Administration,red,Anti-Administration Party
2016-10-18 10:34:30,MS00203315,3315,"FOSTER, Theodore",2,Senate,(RI),Rhode Island,RI,0,5000,Pro-Administration,0.287,0.668,0.765,7,51,-13.65076,Pro-Administration,blue,Pro-Administration Party
2016-10-18 10:34:30,MS00203128,3128,"FEW, William",2,Senate,(GA),Georgia,GA,0,4000,Anti-Administration,-0.51,-0.433,0.681,8,49,-18.81336,Anti-Administration,red,Anti-Administration Party
2016-10-18 10:34:30,MS00202936,2936,"ELLSWORTH, Oliver",2,Senate,(CT),Connecticut,CT,0,5000,Pro-Administration,0.531,0.784,0.743,7,52,-15.46798,Pro-Administration,blue,Pro-Administration Party
2016-10-18 10:34:30,MS00202866,2866,"EDWARDS, John",2,Senate,(KY),Kentucky,KY,0,4000,Anti-Administration,-0.728,-0.685,0.815,6,49,-10.01185,Anti-Administration,red,Anti-Administration Party
2016-10-18 10:34:30,MS00202576,2576,"DICKINSON, Philemon",2,Senate,(NJ),New Jersey,NJ,0,5000,Pro-Administration,0.61,-0.683,0.781,3,50,-12.39027,Pro-Administration,blue,Pro-Administration Party
2016-10-18 10:34:30,MS00201536,1536,"CARROLL, Charles (of Carrollton)",2,Senate,(MD),Maryland,MD,0,5000,Pro-Administration,0.235,-0.603,0.771,3,36,-9.34354,Pro-Administration,blue,Pro-Administration Party
