date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood
2016-10-19 13:04:34,MS04210387,10387,"WRIGHT, George Grover",42,Senate,(IA),Iowa,IA,0,200,0.278,-0.207,0.601,146,576,-293.09375
2016-10-19 13:04:34,MS04210268,10268,"WINDOM, William",42,Senate,(MN),Minnesota,MN,0,200,0.318,-0.067,0.589,162,574,-303.60351
2016-10-19 13:04:34,MS04210225,10225,"WILSON, Henry",42,Senate,(MA),Massachusetts,MA,0,200,0.33,-0.224,0.626,131,555,-260.02168
2016-10-19 13:04:34,MS04209961,9961,"WEST, Joseph Rodman",42,Senate,(LA),Louisiana,LA,0,200,0.224,0.491,0.625,119,527,-247.56434
2016-10-19 13:04:34,MS04209668,9668,"VICKERS, George",42,Senate,(MD),Maryland,MD,0,100,-0.803,-0.359,0.769,76,630,-165.39106
2016-10-19 13:04:34,MS04209492,9492,"TRUMBULL, Lyman",42,Senate,(IL),Illinois,IL,0,200,0.126,-0.082,0.585,153,561,-300.94799
2016-10-19 13:04:34,MS04209398,9398,"TIPTON, Thomas Weston",42,Senate,(NE),Nebraska,NE,0,200,0.094,0.468,0.61,124,485,-239.61653
2016-10-19 13:04:34,MS04209367,9367,"THURMAN, Allen Granberry",42,Senate,(OH),Ohio,OH,0,100,-0.374,-0.248,0.774,58,499,-127.88167
2016-10-19 13:04:34,MS04209083,9083,"SUMNER, Charles",42,Senate,(MA),Massachusetts,MA,0,200,0.339,-0.247,0.463,151,367,-282.35852
2016-10-19 13:04:34,MS04208962,8962,"STOCKTON, John Potter",42,Senate,(NJ),New Jersey,NJ,0,100,-0.369,-0.296,0.733,79,536,-166.2506
2016-10-19 13:04:34,MS04208948,8948,"STEWART, William Morris",42,Senate,(NV),Nevada,NV,0,200,0.251,0.209,0.665,85,509,-207.49897
2016-10-19 13:04:34,MS04208922,8922,"STEVENSON, John White",42,Senate,(KY),Kentucky,KY,0,100,-0.595,-0.23,0.815,64,641,-131.05685
2016-10-19 13:04:34,MS04208806,8806,"SPRAGUE, William",42,Senate,(RI),Rhode Island,RI,0,200,0.121,0.02,0.49,190,461,-328.85789
2016-10-19 13:04:34,MS04208783,8783,"SPENCER, George Eliphaz",42,Senate,(AL),Alabama,AL,0,200,0.286,0.958,0.675,83,483,-189.58416
2016-10-19 13:04:34,MS04208454,8454,"SHERMAN, John",42,Senate,(OH),Ohio,OH,0,200,0.234,-0.352,0.602,150,571,-289.76589
2016-10-19 13:04:34,MS04208304,8304,"SCOTT, John",42,Senate,(PA),Pennsylvania,PA,0,200,0.27,-0.284,0.647,139,667,-290.66456
2016-10-19 13:04:34,MS04208279,8279,"SCHURZ, Carl",42,Senate,(MO),Missouri,MO,0,208,0.022,-0.343,0.707,68,450,-155.90494
2016-10-19 13:04:34,MS04208235,8235,"SAWYER, Frederick Adolphus",42,Senate,(SC),South Carolina,SC,0,200,0.224,0.367,0.633,127,610,-279.18999
2016-10-19 13:04:34,MS04208222,8222,"SAULSBURY, Eli",42,Senate,(DE),Delaware,DE,0,100,-0.645,-0.583,0.879,22,565,-72.74715
2016-10-19 13:04:34,MS04207967,7967,"ROBERTSON, Thomas James",42,Senate,(SC),South Carolina,SC,0,200,0.129,0.432,0.617,131,522,-252.03814
2016-10-19 13:04:34,MS04207851,7851,"RICE, Benjamin Franklin",42,Senate,(AR),Arkansas,AR,0,200,0.248,0.969,0.634,103,435,-198.26505
2016-10-19 13:04:34,MS04207737,7737,"RANSOM, Matt Whitaker",42,Senate,(NC),North Carolina,NC,0,100,-0.416,-0.088,0.799,38,327,-73.45457
2016-10-19 13:04:34,MS04207703,7703,"RAMSEY, Alexander",42,Senate,(MN),Minnesota,MN,0,200,0.338,0.292,0.702,99,589,-208.02661
2016-10-19 13:04:34,MS04207587,7587,"PRATT, Daniel Darwin",42,Senate,(IN),Indiana,IN,0,200,0.251,0.028,0.62,143,548,-261.68388
2016-10-19 13:04:34,MS04207521,7521,"POOL, John",42,Senate,(NC),North Carolina,NC,0,200,0.235,0.972,0.721,60,468,-153.35682
2016-10-19 13:04:34,MS04207518,7518,"POMEROY, Samuel Clarke",42,Senate,(KS),Kansas,KS,0,200,0.356,0.231,0.729,73,523,-165.23599
2016-10-19 13:04:34,MS04207246,7246,"PATTERSON, James Willis",42,Senate,(NH),New Hampshire,NH,0,200,0.288,-0.44,0.675,52,334,-131.17761
2016-10-19 13:04:34,MS04207090,7090,"OSBORN, Thomas Ward",42,Senate,(FL),Florida,FL,0,200,0.438,0.899,0.752,63,477,-135.77575
2016-10-19 13:04:34,MS04206992,6992,"NYE, James Warren",42,Senate,(NV),Nevada,NV,0,200,0.4,0.282,0.724,79,485,-156.37515
2016-10-19 13:04:34,MS04206978,6978,"NORWOOD, Thomas Manson",42,Senate,(GA),Georgia,GA,0,100,-0.491,0.055,0.824,41,530,-102.75238
2016-10-19 13:04:34,MS04206744,6744,"MORTON, Oliver Hazard Perry Throck",42,Senate,(IN),Indiana,IN,0,200,0.306,0.375,0.666,102,503,-204.37481
2016-10-19 13:04:34,MS04206697,6697,"MORRILL, Lot Myrick",42,Senate,(ME),Maine,ME,0,200,0.304,-0.598,0.673,75,437,-173.28192
2016-10-19 13:04:34,MS04206696,6696,"MORRILL, Justin Smith",42,Senate,(VT),Vermont,VT,0,200,0.309,-0.772,0.735,86,638,-196.08699
2016-10-19 13:04:34,MS04205878,5878,"MACHEN, Willis Benson",42,Senate,(KY),Kentucky,KY,0,100,-0.573,-0.508,0.776,16,169,-42.96742
2016-10-19 13:04:34,MS04205746,5746,"LOGAN, John Alexander",42,Senate,(IL),Illinois,IL,0,200,0.214,0.327,0.626,115,506,-236.71185
2016-10-19 13:04:34,MS04205642,5642,"LEWIS, John Francis",42,Senate,(VA),Virginia,VA,0,200,0.172,0.964,0.681,51,305,-117.20176
2016-10-19 13:04:34,MS04205152,5152,"KELLY, James Kerr",42,Senate,(OR),Oregon,OR,0,100,-0.382,-0.14,0.796,73,654,-149.10834
2016-10-19 13:04:34,MS04205147,5147,"KELLOGG, William Pitt",42,Senate,(LA),Louisiana,LA,0,200,0.245,0.721,0.693,57,327,-119.79249
2016-10-19 13:04:34,MS04205005,5005,"JOHNSTON, John Warfield",42,Senate,(VA),Virginia,VA,0,100,-0.421,0.067,0.838,40,535,-94.2721
2016-10-19 13:04:34,MS04204642,4642,"HOWE, Timothy Otis",42,Senate,(WI),Wisconsin,WI,0,200,0.313,-0.122,0.7,76,455,-162.03982
2016-10-19 13:04:34,MS04204457,4457,"HITCHCOCK, Phineas Warren",42,Senate,(NE),Nebraska,NE,0,200,0.21,0.629,0.585,159,563,-301.87026
2016-10-19 13:04:34,MS04204416,4416,"HILL, Joshua",42,Senate,(GA),Georgia,GA,0,200,-0.055,0.401,0.725,80,544,-174.79334
2016-10-19 13:04:34,MS04204077,4077,"HARLAN, James",42,Senate,(IA),Iowa,IA,0,200,0.333,0.181,0.613,153,565,-276.51013
2016-10-19 13:04:34,MS04204001,4001,"HAMLIN, Hannibal",42,Senate,(ME),Maine,ME,0,200,0.194,-0.981,0.604,132,480,-242.38487
2016-10-19 13:04:34,MS04203998,3998,"HAMILTON, William Thomas",42,Senate,(MD),Maryland,MD,0,100,-0.673,-0.719,0.826,54,584,-111.85027
2016-10-19 13:04:34,MS04203995,3995,"HAMILTON, Morgan Calvin",42,Senate,(TX),Texas,TX,0,200,0.099,-0.416,0.562,154,514,-296.33756
2016-10-19 13:04:34,MS04203657,3657,"GOLDTHWAITE, George",42,Senate,(AL),Alabama,AL,0,100,-0.57,0.169,0.811,38,394,-82.58179
2016-10-19 13:04:34,MS04203571,3571,"GILBERT, Abijah",42,Senate,(FL),Florida,FL,0,200,0.338,-0.046,0.633,115,467,-213.20246
2016-10-19 13:04:34,MS04203362,3362,"FRELINGHUYSEN, Frederick Theodore",42,Senate,(NJ),New Jersey,NJ,0,200,0.329,-0.629,0.718,102,681,-225.20346
2016-10-19 13:04:34,MS04203203,3203,"FLANAGAN, James Winright",42,Senate,(TX),Texas,TX,0,200,0.307,0.284,0.649,135,576,-249.28471
2016-10-19 13:04:34,MS04203123,3123,"FERRY, Thomas White",42,Senate,(MI),Michigan,MI,0,200,0.314,0.131,0.693,114,686,-251.65839
2016-10-19 13:04:34,MS04203122,3122,"FERRY, Orris Sanford",42,Senate,(CT),Connecticut,CT,0,200,0.177,-0.478,0.574,95,313,-173.67252
2016-10-19 13:04:34,MS04203107,3107,"FENTON, Reuben Eaton",42,Senate,(NY),New York,NY,0,200,0.182,-0.551,0.535,157,411,-257.16685
2016-10-19 13:04:34,MS04202855,2855,"EDMUNDS, George Franklin",42,Senate,(VT),Vermont,VT,0,200,0.273,-0.962,0.692,93,589,-217.11317
2016-10-19 13:04:34,MS04202384,2384,"DAVIS, Henry Gassaway",42,Senate,(WV),West Virginia,WV,0,100,-0.419,-0.438,0.835,45,571,-102.83573
2016-10-19 13:04:34,MS04202380,2380,"DAVIS, Garrett",42,Senate,(KY),Kentucky,KY,0,100,-0.121,0.631,0.752,20,124,-35.26634
2016-10-19 13:04:34,MS04202129,2129,"CRAGIN, Aaron Harrison",42,Senate,(NH),New Hampshire,NH,0,200,0.342,-0.311,0.663,100,504,-207.08089
2016-10-19 13:04:34,MS04202064,2064,"CORBETT, Henry Winslow",42,Senate,(OR),Oregon,OR,0,200,0.289,-0.179,0.649,123,601,-260.24937
2016-10-19 13:04:34,MS04202046,2046,"COOPER, Henry",42,Senate,(TN),Tennessee,TN,0,100,-0.496,-0.311,0.801,69,602,-133.65327
2016-10-19 13:04:34,MS04201984,1984,"CONKLING, Roscoe",42,Senate,(NY),New York,NY,0,200,0.304,-0.393,0.686,124,645,-243.48056
2016-10-19 13:04:34,MS04201921,1921,"COLE, Cornelius",42,Senate,(CA),California,CA,0,200,0.288,-0.193,0.549,196,624,-373.91939
2016-10-19 13:04:34,MS04201824,1824,"CLAYTON, Powell",42,Senate,(AR),Arkansas,AR,0,200,0.315,0.874,0.701,85,528,-187.56993
2016-10-19 13:04:34,MS04201642,1642,"CHANDLER, Zachariah",42,Senate,(MI),Michigan,MI,0,200,0.599,0.06,0.745,97,614,-181.03915
2016-10-19 13:04:34,MS04201585,1585,"CASSERLY, Eugene",42,Senate,(CA),California,CA,0,100,-0.496,-0.137,0.815,69,644,-132.12819
2016-10-19 13:04:34,MS04201524,1524,"CARPENTER, Matthew Hale",42,Senate,(WI),Wisconsin,WI,0,200,0.272,0.124,0.625,113,486,-228.5909
2016-10-19 13:04:34,MS04201437,1437,"CAMERON, Simon",42,Senate,(PA),Pennsylvania,PA,0,200,0.274,-0.166,0.675,60,360,-141.31326
2016-10-19 13:04:34,MS04201401,1401,"CALDWELL, Alexander",42,Senate,(KS),Kansas,KS,0,200,0.311,0.151,0.67,95,540,-215.92363
2016-10-19 13:04:34,MS04201202,1202,"BUCKINGHAM, William Alfred",42,Senate,(CT),Connecticut,CT,0,200,0.297,-0.724,0.725,62,488,-157.21409
2016-10-19 13:04:34,MS04201151,1151,"BROWNLOW, William Gannaway",42,Senate,(TN),Tennessee,TN,0,200,0.362,0.345,0.698,27,140,-50.2387
2016-10-19 13:04:34,MS04200862,862,"BOREMAN, Arthur Inghram",42,Senate,(WV),West Virginia,WV,0,200,0.253,0.121,0.598,173,641,-329.59889
2016-10-19 13:04:34,MS04200764,764,"BLAIR, Francis Preston, Jr.",42,Senate,(MO),Missouri,MO,0,100,0.005,-0.221,0.689,95,577,-215.18797
2016-10-19 13:04:34,MS04200528,528,"BAYARD, Thomas Francis, Sr.",42,Senate,(DE),Delaware,DE,0,100,-0.414,-0.655,0.848,35,507,-83.77169
2016-10-19 13:04:34,MS04200212,212,"ANTHONY, Henry Bowen",42,Senate,(RI),Rhode Island,RI,0,200,0.283,-0.724,0.729,75,571,-180.51531
2016-10-19 13:04:34,MS04200152,152,"AMES, Adelbert",42,Senate,(MS),Mississippi,MS,0,200,0.349,-0.183,0.683,117,591,-225.70969
2016-10-19 13:04:34,MS04200067,67,"ALCORN, James Lusk",42,Senate,(MS),Mississippi,MS,0,200,0.067,0.439,0.642,93,413,-183.05433
