date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,party_noun,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood
2017-02-01 15:43:13,MS10214511,14511,"WALLOP, Malcolm",102,Senate,(WY),Wyoming,WY,0,200,,0.575,-0.388,0.78,51,459,-114.28286
2017-02-01 15:43:13,MS10214710,14710,"SIMPSON, Alan Kooi",102,Senate,(WY),Wyoming,WY,0,200,,0.322,-0.34,0.772,47,474,-122.60856
2017-02-01 15:43:13,MS10215703,15703,"KOHL, Herbert H.",102,Senate,(WI),Wisconsin,WI,0,100,,-0.256,-0.406,0.667,100,479,-193.63705
2017-02-01 15:43:13,MS10214242,14242,"KASTEN, Robert Walter, Jr.",102,Senate,(WI),Wisconsin,WI,0,200,,0.261,-0.112,0.651,98,459,-197.25454
2017-02-01 15:43:13,MS10214922,14922,"ROCKEFELLER, John Davison IV (Jay)",102,Senate,(WV),West Virginia,WV,0,100,,-0.326,0.177,0.783,50,475,-116.02876
2017-02-01 15:43:13,MS10201366,1366,"BYRD, Robert Carlyle",102,Senate,(WV),West Virginia,WV,0,100,,-0.309,0.729,0.701,81,481,-170.67752
2017-02-01 15:43:13,MS10214904,14904,"GORTON, Thomas Slade, III (Slade)",102,Senate,(WA),Washington,WA,0,200,,0.271,-0.652,0.74,63,479,-144.18251
2017-02-01 15:43:13,MS10210700,10700,"ADAMS, Brockman (Brock)",102,Senate,(WA),Washington,WA,0,100,,-0.396,-0.127,0.827,42,478,-90.70608
2017-02-01 15:43:13,MS10214712,14712,"WARNER, John William",102,Senate,(VA),Virginia,VA,0,200,,0.262,-0.131,0.733,61,473,-147.00235
2017-02-01 15:43:13,MS10215705,15705,"ROBB, Charles Spittal",102,Senate,(VA),Virginia,VA,0,100,,-0.2,-0.04,0.706,86,482,-167.76045
2017-02-01 15:43:13,MS10214307,14307,"LEAHY, Patrick Joseph",102,Senate,(VT),Vermont,VT,0,100,,-0.376,-0.137,0.776,44,466,-118.194
2017-02-01 15:43:13,MS10214240,14240,"JEFFORDS, James Merrill",102,Senate,(VT),Vermont,VT,0,200,,0.014,-0.687,0.671,78,451,-179.97155
2017-02-01 15:43:13,MS10214503,14503,"HATCH, Orrin Grant",102,Senate,(UT),Utah,UT,0,200,,0.382,-0.006,0.798,42,454,-102.176
2017-02-01 15:43:13,MS10214303,14303,"GARN, Edwin Jacob (Jake)",102,Senate,(UT),Utah,UT,0,200,,0.495,-0.127,0.754,65,441,-124.4377
2017-02-01 15:43:13,MS10214628,14628,"GRAMM, William Philip (Phil)",102,Senate,(TX),Texas,TX,0,200,,0.551,-0.108,0.807,40,460,-98.8395
2017-02-01 15:43:13,MS10200660,660,"BENTSEN, Lloyd Millard, Jr.",102,Senate,(TX),Texas,TX,0,100,,-0.163,0.458,0.717,66,458,-152.30449
