date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,dim1,dim2,log_likelihood,conditional,bioImgURL
2017-01-10 00:09:39,MS11594659,94659,"SHELBY, Richard C.",115,Senate,(AL),Alabama,AL,0,200,0.438,0.551,2136.639,1,094659.jpg
2017-01-10 00:09:39,MS11549706,49706,"ENZI, Michael B.",115,Senate,(WY),Wyoming,WY,0,200,0.535,0.131,1621.033,1,049706.jpg
2017-01-10 00:09:39,MS11549703,49703,"COLLINS, Susan Margaret",115,Senate,(ME),Maine,ME,0,200,0.106,-0.522,2419.857,1,049703.jpg
2017-01-10 00:09:39,MS11549700,49700,"SESSIONS, Jefferson Beauregard III (Jeff)",115,Senate,(AL),Alabama,AL,0,200,0.553,0.163,1743.329,1,049700.jpg
2017-01-10 00:09:39,MS11549308,49308,"MURRAY, Patty",115,Senate,(WA),Washington,WA,0,100,-0.338,-0.34,1820.713,1,049308.jpg
2017-01-10 00:09:39,MS11549300,49300,"FEINSTEIN, Dianne",115,Senate,(CA),California,CA,0,100,-0.259,-0.221,2184.239,1,049300.jpg
2017-01-10 00:09:39,MS11541703,41703,"KENNEDY, John Neely",115,Senate,(LA),Louisiana,LA,0,200,,,,,041703.jpg
2017-01-10 00:09:39,MS11541702,41702,"HASSAN, Margaret (Maggie)",115,Senate,(NH),New Hampshire,NH,0,100,,,,,041702.jpg
2017-01-10 00:09:39,MS11541701,41701,"HARRIS, Kamala Devi",115,Senate,(CA),California,CA,0,100,,,,,041701.jpg
2017-01-10 00:09:39,MS11541700,41700,"CORTEZ MASTO, Catherine Marie",115,Senate,(NV),Nevada,NV,0,100,,,,,041700.jpg
2017-01-10 00:09:39,MS11541505,41505,"ROUNDS, Marion Michael (Mike)",115,Senate,(SD),South Dakota,SD,0,200,0.374,-0.041,125.734,1,041505.jpg
2017-01-10 00:09:39,MS11541504,41504,"TILLIS, Thomas Roland (Thom)",115,Senate,(NC),North Carolina,NC,0,200,0.422,-0.146,140.704,1,041504.jpg
2017-01-10 00:09:39,MS11541503,41503,"SASSE, Benjamin Eric",115,Senate,(NE),Nebraska,NE,0,200,0.937,0.004,188.702,1,041503.jpg
2017-01-10 00:09:39,MS11541502,41502,"ERNST, Joni",115,Senate,(IA),Iowa,IA,0,200,0.5,-0.016,125.594,1,041502.jpg
2017-01-10 00:09:39,MS11541501,41501,"PERDUE, David Alfred, Jr.",115,Senate,(GA),Georgia,GA,0,200,0.702,-0.327,182.69,1,041501.jpg
2017-01-10 00:09:39,MS11541500,41500,"SULLIVAN, Daniel Scott",115,Senate,(AK),Alaska,AK,0,200,0.459,0.134,209.079,1,041500.jpg
2017-01-10 00:09:39,MS11541308,41308,"BOOKER, Cory Anthony",115,Senate,(NJ),New Jersey,NJ,0,100,-0.523,-0.267,124.426,1,041308.jpg
2017-01-10 00:09:39,MS11541305,41305,"KAINE, Timothy Michael (Tim)",115,Senate,(VA),Virginia,VA,0,100,-0.212,-0.281,223.232,1,041305.jpg
2017-01-10 00:09:39,MS11541304,41304,"CRUZ, Rafael Edward (Ted)",115,Senate,(TX),Texas,TX,0,200,0.984,-0.178,326.468,1,041304.jpg
2017-01-10 00:09:39,MS11541303,41303,"HEITKAMP, Mary Kathryn (Heidi)",115,Senate,(ND),North Dakota,ND,0,100,-0.113,0.29,347.94,1,041303.jpg
2017-01-10 00:09:39,MS11541302,41302,"FISCHER, Debra (Deb)",115,Senate,(NE),Nebraska,NE,0,200,0.475,0.213,289.472,1,041302.jpg
2017-01-10 00:09:39,MS11541301,41301,"WARREN, Elizabeth",115,Senate,(MA),Massachusetts,MA,0,100,-0.746,-0.067,136.704,1,041301.jpg
2017-01-10 00:09:39,MS11541300,41300,"KING, Angus Stanley, Jr.",115,Senate,(ME),Maine,ME,0,328,-0.169,-0.257,321.501,1,041300.jpg
2017-01-10 00:09:39,MS11541112,41112,"SCHATZ, Brian Emanuel",115,Senate,(HI),Hawaii,HI,0,100,-0.384,-0.116,164.377,1,041112.jpg
2017-01-10 00:09:39,MS11541111,41111,"JOHNSON, Ron",115,Senate,(WI),Wisconsin,WI,0,200,0.583,-0.344,432.527,1,041111.jpg
2017-01-10 00:09:39,MS11541110,41110,"LEE, Mike",115,Senate,(UT),Utah,UT,0,200,0.986,-0.166,552.436,1,041110.jpg
2017-01-10 00:09:39,MS11541107,41107,"HOEVEN, John",115,Senate,(ND),North Dakota,ND,0,200,0.334,0.261,450.059,1,041107.jpg
2017-01-10 00:09:39,MS11541104,41104,"PAUL, Rand",115,Senate,(KY),Kentucky,KY,0,200,0.979,-0.203,735.65,1,041104.jpg
2017-01-10 00:09:39,MS11541102,41102,"RUBIO, Marco",115,Senate,(FL),Florida,FL,0,200,0.579,-0.198,532.243,1,041102.jpg
