date_generated,congress,chamber,party_code,party_name,n_members,median_dim1,median_dim2,mean_dim1,mean_dim2,all_parties_median_dim1,all_parties_median_dim2,all_parties_mean_dim1,all_parties_mean_dim2,all_parties_n_members
2017-01-15 03:29:35,1,House,5000,Pro-Administration Party,37,0.578,0.057,0.528,0.026,0.316,0.079,0.285,0.077,66
2017-01-15 03:29:35,1,House,4000,Anti-Administration Party,29,0.018,0.092,-0.024,0.142,0.316,0.079,0.285,0.077,66
2017-01-15 03:29:35,1,Senate,4000,Anti-Administration Party,8,-0.237,-0.213,-0.24,-0.043,0.226,-0.308,0.183,-0.131,28
2017-01-15 03:29:35,1,Senate,5000,Pro-Administration Party,20,0.427,-0.308,0.352,-0.166,0.226,-0.308,0.183,-0.131,28
2017-01-15 03:29:35,2,House,5000,Pro-Administration Party,40,0.533,0.083,0.53,0.081,0.272,0.004,0.282,-0.007,71
2017-01-15 03:29:35,2,House,4000,Anti-Administration Party,31,-0.022,-0.079,-0.039,-0.122,0.272,0.004,0.282,-0.007,71
2017-01-15 03:29:35,2,Senate,5000,Pro-Administration Party,17,0.446,-0.252,0.387,-0.118,0.09,-0.462,0.049,-0.203,31
2017-01-15 03:29:35,2,Senate,4000,Anti-Administration Party,14,-0.392,-0.54,-0.362,-0.307,0.09,-0.462,0.049,-0.203,31
2017-01-15 03:29:35,3,House,5000,Pro-Administration Party,52,0.589,0.074,0.564,0.051,0.187,-0.035,0.237,-0.059,107
2017-01-15 03:29:35,3,House,4000,Anti-Administration Party,55,-0.072,-0.151,-0.072,-0.162,0.187,-0.035,0.237,-0.059,107
2017-01-15 03:29:35,3,Senate,5000,Pro-Administration Party,18,0.571,-0.179,0.574,0.004,0.286,-0.283,0.142,-0.194,33
2017-01-15 03:29:35,3,Senate,4000,Anti-Administration Party,15,-0.37,-0.548,-0.377,-0.432,0.286,-0.283,0.142,-0.194,33
2017-01-15 03:29:35,4,House,1,Federalist Party,54,0.603,0.138,0.562,0.141,0.07,0.06,0.203,0.067,114
2017-01-15 03:29:35,4,House,13,Democratic-Republican Party,60,-0.098,-0.033,-0.119,-0.0,0.07,0.06,0.203,0.067,114
