date_generated,id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,slope,intercept,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood
2017-01-15 03:28:24,RH0440001,44,House,1,1875-12-06,,279,2,"TO ELECT A SPEAKER OF THE 44TH HOUSE FROM A LIST OF CANDIDATES INCLUDING ANDERSON, BLAINE, CAMPBELL, KERR AND   5 WILLIAMS.",Election of the Speaker of the House,,Internal Organization,,Miscellaneous Policy,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH0440002,44,House,2,1875-12-06,,135,134,"TO ORDER THE MAIN QUESTION ON THE H. RES., PROVIDING THAT THE CREDENTIALS OF F. MOREY OF THE 5TH DISTRICT OF LOUSIANA BE REFERRED TO THE COMMITTEE ON ELECTIONS WITH INSTRUCTIONS TO REPORT ON HIS PRIMA FACIE RIGHT.",Disputed Elections to Congress,,Internal Organization,,Miscellaneous Policy,-8.363455641340627,-1.4066067251798628,-0.164,-0.035,0.201,0.139,0.791,0.896,-71.814299
2017-01-15 03:28:24,RH0440003,44,House,3,1875-12-15,,168,102,"TO REFER A H. RES., PROVIDING THAT IN AS MUCH AS THE UNION OF THE STATE HAS BEEN RESTORED, ALL CITIZENS ARE ENTITLED TO BE CONSIDERED IN ALL APPOINTMENTS TO OFFICES UNDER THIS GOVERNMENT, TO THE COMMITTEE ON ACCOUNTS.",Nullification/Secession/Reconstruction,,Domestic Social Policy,,Civil Liberties,-5.3464552100241765,0.10862201462053188,0.022,-0.009,0.697,0.754,0.961,0.985,-6.542356
2017-01-15 03:28:24,RH0440004,44,House,4,1875-12-15,,223,34,TO PASS A H. RES. PROVIDING THAT NO SUBSIDIES IN ANY FORM BE GRANTED BY THE CONGRESS TO ASSOCIATIONS OR CORPORATIONS ENGAGED IN PUBLIC OR PRIVATE BUSINESS AND THAT APPROPRIA- TIONS MADE BE LIMITED TO AMOUNTS IMPERATIVELY DEMANDED BY PUBLIC SERVICE.,,,Regulation General Interest,,Government Management,-4.680437315747524,3.3970412228074545,0.826,-0.469,0.14,0.173,-0.029,0.864,-95.164678
2017-01-15 03:28:24,RH0440005,44,House,5,1875-12-15,,234,18,TO PASS A H. RES. PROVIDING THAT ANY DEPARTURE FROM PRECEDENT ESTABLISHED BY WASHINGTON IN RETIRING FROM PRESIDENTIAL OFFICE AFTER THE 2ND TERM COULD BE PERILOUS TO OUR FREE INSTITUTIONS.,,,Domestic Social Policy,,Civil Liberties,-7.638630316250033,3.3857200785175148,0.438,0.04,0.733,0.555,0.278,0.948,-25.529001
2017-01-15 03:28:24,RH0440006,44,House,6,1875-12-17,,123,96,"TO ORDER THE PREVIOUS QUESTION ON THE PASSAGE OF H.R. 283, (19 STAT 2, 1/18/76) A BILL PROVIDING TO CHANGE THE NAME OF THE STEAMBOAT FROM JASPER OF SAINT LOUIS, MISSOURI.",,,Government Organization,,Government Management,3.3681449540675557,-0.05883309725732622,-0.158,-0.591,0.099,-0.17,0.5,0.781,-103.125497
2017-01-15 03:28:24,RH0440007,44,House,7,1876-01-05,,122,93,"TO REFER H. RES., PROVIDING THAT OFFICERS OF THE HOUSE WHEN FILLING SUBORDINATE PLACES UNDER THEIR AUTHORITY GIVE PREFERENCE TO UNION SOLDIERS OVER THOSE OF THE CONFEDERATE ARMY, TO THE COMMITTEE ON THE CENTENNIAL CELEBRATION.",Nullification/Secession/Reconstruction,,Government Organization,,Government Management,-6.11417944042855,-0.839729147815283,-0.129,-0.051,0.333,0.315,0.903,0.958,-25.636132
2017-01-15 03:28:24,RH0440008,44,House,8,1876-01-06,,250,0,"TO PASS A H. RES., PROVIDING THAT REPRESENTATIVES IN CONGRESS OF DIFFERENT SECTIONS OF THE UNION BY NO ACT DISTURB THE PATRIOTIC CONCORD AND FRATERNAL FEELING AMONG THE PEOPLE.",,,Domestic Social Policy,,Civil Liberties,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH0440009,44,House,9,1876-01-10,,164,100,"TO ORDER THE ENGROSSMENT AND THIRD READING OF H.R. 214, A BILL PROVIDING FOR THE REMOVAL OF THE DISABILITIES IMPOSED BY THE THIRD SECTION OF THE 14TH ARTICLE OF THE AMENDMENTS OF THE CONSTITUTION OF THE UNITED STATES.",Amnesty (all wars),,Domestic Social Policy,,Civil Liberties,15.605972919360385,-1.0,-0.0,-1.0,0.313,-0.116,0.95,0.981,-22.098044
2017-01-15 03:28:24,RH0440010,44,House,10,1876-01-10,,175,97,"TO PASS H.R. 214. (REJECTED, 2/3 NOT VOTING IN AFFIRMATIVE.)",Amnesty (all wars),,Domestic Social Policy,,Civil Liberties,29.996730099399805,-4.687558563418974,0.135,-0.638,0.306,-0.059,0.918,0.971,-28.84633
2017-01-15 03:28:24,RH0440011,44,House,11,1876-01-14,,184,92,TO ORDER THE MAIN QUESTION ON H.R. 214 AND THEREBY SHUT OFF DEBATE ON THE BILL.,Amnesty (all wars),,Domestic Social Policy,,Civil Liberties,-193.43207328803234,30.165699652797144,0.159,-0.59,0.301,0.009,0.891,0.964,-30.727992
2017-01-15 03:28:24,RH0440012,44,House,12,1876-01-14,,185,99,"TO PASS H.R. 214 AS AMENDED. (REJECTED, 2/3 NOT VOTING IN AFFIRMATIVE).",Amnesty (all wars),,Domestic Social Policy,,Civil Liberties,-23.525522426922855,3.47760911073458,0.161,-0.31,0.301,0.074,0.909,0.968,-30.455632
2017-01-15 03:28:24,RH0440013,44,House,13,1876-01-17,,164,111,"TO PASS A H. RES. SUSPENDING THE RULES SO AS TO ENABLE THE HOUSE TO VOTE ON THE FORTHCOMING BILL, H.R. 214.",Amnesty (all wars),,Domestic Social Policy,,Civil Liberties,-18.064106602969208,-4.997629315816533,-0.275,-0.03,-0.228,-0.073,0.622,0.847,-87.659773
2017-01-15 03:28:24,RH0440014,44,House,14,1876-01-17,,112,158,TO SUSPEND THE RULES AND PASS A H. RES. PROVIDING THAT IT IS UNWISE AND INEXPEDIENT AT THIS TIME TO SET A SPECIFIC PERIOD PRESCRIBED BY LAW AT WHICH LEGAL-TENDER NOTES OF THE U.S. SHOULD BE PAID BY THE SECRETARY OF THE TREASURY.,Banking and Finance,,Government Organization,,Government Management,1.4346421801233242,0.19872564929183914,-0.096,0.061,0.159,-0.641,0.714,0.881,-76.232151
