date_generated,id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-01-23 00:25:07,RH0850001,85,House,1,1957-01-03,,227,199,"HOUSE ORGANIZATION.  SAM RAYBURN VERSUS JOSEPH W. MARTIN, JR. FOR SPEAKER OF THE HOUSE.  RAYBURN ELECTED.",Election of the Speaker of the House,,Internal Organization,,Miscellaneous Policy,-0.025,0.04,0.644,-1.561,1.0,1.0,-4.202191,0.99
2017-01-23 00:25:07,RH0850002,85,House,2,1957-01-29,,267,150,H RES 123.  CLOSED RULE PERMITTING CONSIDERATION OF H. J. RES. 117 (CQ 3) EISENHOWER M ID-EAST DOCTRINE.  AGREED TO. YEA SUPPORTS PRESIDENT'S POSITION.,,,Foreign Policy Resolutions,,Foreign and Defense Policy,0.778,-0.628,0.13,0.505,0.242,0.728,-226.610626,0.581
2017-01-23 00:25:07,RH0850003,85,House,3,1957-01-30,CQ,359,64,H J RES 117.  EISENHOWER MID-EAST DOCTRINE AUTHORIZING THE PRESIDENT TO UNDERTAKE A PROGRAM OF ECONOMIC COOPERATION WITH MIDDLE EASTERN NATIONS IN ORDER TO COMBAT COMMUNISM. PASSED.  YEA SUPPORTS PRESIDENT'S POSITION.,,,Foreign Policy Resolutions,,Foreign and Defense Policy,0.711,-0.703,0.204,0.325,0.111,0.867,-147.68143,0.705
2017-01-23 00:25:07,RH0850004,85,House,4,1957-02-05,,208,171,HR 4249.  DEFICIENCY APPROPRIATION FOR FISCAL 1957.  AMEND- MENT TO CUT FUNDS REQUESTED FOR STATE AND LOCAL ADMINISTRA- TION OF PUBLIC ASSISTANCE GRANTS.  AGREED TO.,Welfare,,Domestic Social Policy,,Social Welfare,0.046,-0.714,-0.218,-0.113,0.643,0.839,-134.514292,0.701
2017-01-23 00:25:07,RH0850005,85,House,5,1957-02-06,,275,112,"HR 2367.  ESTABLISH A DEFERRED GRAZING PROGRAM, PAYING RAN- CHERS TO KEEP THEIR LIVESTOCK OFF DROUGHT-PARCHED GRAZING LANDS.  PASSED.",Agriculture,,Budget Special Interest,,Agriculture,0.354,-0.013,0.108,-0.403,0.42,0.832,-146.179979,0.685
2017-01-23 00:25:07,RH0850006,85,House,6,1957-03-07,,351,60,H J RES 117.  AGREE WITH SENATE CHANGES IN PRESIDENT'S MID- EAST DOCTRINE.  PASSED.  YEA SUPPORTS PRESIDENT'S POSITION.,,,Foreign Policy Resolutions,,Foreign and Defense Policy,0.712,-0.673,0.213,0.355,0.119,0.873,-138.596221,0.714
2017-01-23 00:25:07,RH0850007,85,House,7,1957-03-12,,228,194,H RES 192.  OPEN RULE TO CONSIDER H RES 190 (CQ 8) REQUEST- ING PRESIDENT TO INDICATE AREAS WHERE BUDGET CUTS COULD BE MADE.  ADOPTED.,,,Government Organization,,Government Management,-0.074,-0.333,0.293,-0.516,0.948,0.976,-38.524068,0.913
2017-01-23 00:25:07,RH0850008,85,House,8,1957-03-12,,194,223,H RES 190.  REQUEST PRESIDENT TO INDICATE PLACES IN HIS BUD- GET WHERE HE THINKS SUBSTANTIAL CUTS COULD BEST BE MADE. MOTION TO RECOMMIT.  REJECTED.,,,Government Organization,,Government Management,0.003,0.05,-0.697,1.169,0.979,0.99,-13.126867,0.969
2017-01-23 00:25:07,RH0850009,85,House,9,1957-03-12,,230,188,H RES 190.  REQUEST PRESIDENT TO INDICATE AREAS WHERE BUD- GET CUTS COULD BE MADE.  ADOPTED.,,,Government Organization,,Government Management,-0.137,-0.521,0.248,-0.468,0.92,0.964,-58.199946,0.87
2017-01-23 00:25:07,RH0850010,85,House,10,1957-03-13,,179,249,"HR 4901.  GIVE COMMERCIAL CORN PRODUCERS CHOICE BETWEEN A 51 MILLION ACRE PLANTING BASE WITH SOIL BANK PARTICIPATION NECESSARY AND SUPPORTS AT $1.31 A BUSHEL, AND A 37 MILLION ACRE ALLOTMENT WITH SOIL BANK PARTICIPATION VOLUNTARY AND SUPPORTS AT $1.36 A USHEL",Price Controls,,Budget Special Interest,,Agriculture,0.319,0.948,0.06,-0.216,0.38,0.741,-228.787149,0.586
2017-01-23 00:25:07,RH0850011,85,House,11,1957-03-13,,199,227,HR 4901.  DESIGN TWO ALTERNATIVE CORN PRICE-SUPPORT PROGRAMS BETWEEN WHICH COMMERCIAL CORN PRODUCERS MAY CHOOSE.  PASSED. YEA SUPPORTS PRESIDENT'S POSITION.,Price Controls,,Budget Special Interest,,Agriculture,0.217,0.976,-0.059,0.058,0.357,0.7,-266.236581,0.535
2017-01-23 00:25:07,RH0850012,85,House,12,1957-03-27,,186,238,H RES 85.  AUTHORIZE AN INVESTIGATION OF NATIONAL MONETARY AND CREDIT POLICIES BY HOUSE BANKING AND CURRENCY COMMITTEE. REJECTED.  NAY SUPPORTS PRESIDENT'S POSITION.,Impeachments and Investigations,,Internal Organization,,Miscellaneous Policy,-0.119,-0.488,0.334,-0.091,0.828,0.924,-70.510469,0.847
2017-01-23 00:25:07,RH0850013,85,House,13,1957-04-04,,292,133,"HR 6287.  FISCAL 1958  APPROPRIATIONS FOR DEPARTMENTS OF LA- BOR, AND HEALTH EDUCATION AN D WELFARE.  AMENDMENT TO CUT SALARIES AND EXPENSES FOR OFFICE OF SECRETARY OF LABOR. ADOPTED.  NAY SUPPORTS PRESIDENT'S POSITION.",,,Budget Special Interest,,Government Management,-0.1,-0.235,-0.172,-0.267,0.474,0.835,-152.440316,0.699
2017-01-23 00:25:07,RH0850014,85,House,14,1957-04-04,,245,177,"HR 6287.  FISCAL 1958 APPROPRIATIONS FOR DEPARTMENTS OF LA- BOR, AND HEALTH EDUCATION AN D WELFARE.  AMENDMENT TO CUT SALARIES AND EXPENSES FOR SOLICITOR'S OFFICE, LABOR DEPART- MENT.  ADOPTED.  NAY SUPPORTS PRESIDENT'S POSITION.",,,Budget Special Interest,,Government Management,0.088,-0.337,-0.233,-0.442,0.661,0.857,-142.142832,0.714
2017-01-23 00:25:07,RH0850015,85,House,15,1957-04-04,,250,174,"HR 6287.  FISCAL 1958 APPROPRIATIONS FOR DEPARTMENTS OF LAB BOR, AND HEALTH EDUCATION AN D WELFARE.  AMENDMENT TO CUT SALARIES AND EXPENSES FOR BUREAU OF LABOR STANDARDS, LABOR DEPARTMENT.  ADOPTED.  NAY SUPPORTS PRESIDENT'S POSITION.",,,Budget Special Interest,,Government Management,0.164,-0.47,-0.159,-0.399,0.523,0.804,-184.718745,0.647
2017-01-23 00:25:07,RH0850016,85,House,16,1957-04-04,,139,278,"HR 6287.  FISCAL 1958 APPROPRIATIONS FOR DEPARTMENTS OF LA- BOR, AND HEALTH EDUCATION AN D WELFARE.  AMENDMENT TO CUT FUNDS FOR BUREAU OF VETERANS' RE-EMPLOYMENT RIGHTS.  REJECT- ED.  NAY SUPPORTS PRESIDENT'S POSITION.",,,Budget Special Interest,,Government Management,0.168,0.064,-0.255,-0.315,0.471,0.825,-143.55955,0.709
2017-01-23 00:25:07,RH0850017,85,House,17,1957-04-04,,218,209,"HR 6287.  FISCAL 1958 APPROPRIATIONS DOR DEPARTMENTS OF LA- BOR, AND HEALTH EDUCATION AN D WELFARE.  AMENDMENT TO CUT SALARIES AND EXPENSES FOR BUREAU OF EMPLOYMENT SECURITY, LABOR DEPARTMENT.  ACCEPTED.  NAY SUPPORTS PRESIDENT'S POSITION.",,,Budget Special Interest,,Government Management,0.05,-0.031,-0.224,-0.365,0.622,0.815,-154.216537,0.697
2017-01-23 00:25:07,RH0850018,85,House,18,1957-04-04,,224,204,"HR 6287.  FISCAL 1958 APPROPRIATIONS FOR DEPARTMANTS OF LABOR, AND HEALTH EDUCATION  AND WELFARE.  AMENDMENT TO CUT FUNDS FOR GRANTS TO STATES FOR UNEMPLOYMENT COMPENSATION. ACCEPTED.  NAY SUPPORTS PRESIDENT'S POSITION.",Unemployment/Jobs,,Budget General Interest,,Government Management,0.028,-0.058,-0.237,-0.287,0.657,0.836,-141.788728,0.718
2017-01-23 00:25:07,RH0850019,85,House,19,1957-04-04,,257,171,"HR 6287.  FISCAL 1958 APPROPRIATIONS FOR DEPARTMENTS OF LABOR, AND HEALTH EDUCATION  AND WELFARE.  AMENDMENT TO CUT FUNDS FOR UNEMPLOYMENT COMPENSATION FOR FEDERAL EMPLOYEES. ACCEPTED.  NAY SUPPORTS PRESIDENT'S POSITION.",Unemployment/Jobs,,Budget Special Interest,,Government Management,-0.023,-0.147,-0.198,-0.3,0.626,0.85,-149.854045,0.705
2017-01-23 00:25:07,RH0850020,85,House,20,1957-04-04,,348,83,"HR 6287.  FISCAL 1958 APPROPRIATIONS FOR DEPARTMENTS OF LABOR, AND HEALTH EDUCATION  AND WELFARE.  AMENDMENT TO CUT SALARIES AND EXPENSES FOR MEXICAN FARM LABOR PROGRAM. ACCEPTED.  NAY SUPPORTS PRESIDENT'S POSITION.",,,Budget Special Interest,,Government Management,-0.304,-0.275,-0.148,-0.206,0.205,0.847,-144.937952,0.714
