date_generated,id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,slope,intercept,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood
2017-01-22 01:59:02,RH0020001,2,House,1,1791-11-15,,35,23,"TO PASS THE RESOLUTION THAT THE NUMBER OF REPRESENTATIVES SHALL, WITH THE NEXT CENSUS, BE ONE FOR EVERY THIRTY THOUSAND.",Ratio of Representatives to Population,,Government Organization,,Miscellaneous Policy,1.6802749516013662,-0.7189458454505284,0.094,-0.561,0.095,-0.327,0.261,0.702,-29.976931
2017-01-22 01:59:02,RH0020002,2,House,2,1791-11-23,,21,38,"TO AMEND H.R. 147, TO APPORTION THE REPRESENTATION OF THE PEOPLE OF THE UNITED STATES ACCORDING TO THE FIRST ENUMERATION; AMENDMENT TO CHANGE THE REPRESENTATION RATES FROM ONE TO 30,000, TO ONE TO 34,000.  (P. 208)",Ratio of Representatives to Population,,Government Organization,,Miscellaneous Policy,2.4277188969335914,-1.1329535951192573,0.222,-0.594,-0.102,0.243,0.19,0.707,-30.140583
2017-01-22 01:59:02,RH0020003,2,House,3,1791-11-24,,43,12,TO PASS H.R. 147.,Ratio of Representatives to Population,,Government Organization,,Miscellaneous Policy,1.3008892426443723,-1.1357969274482365,0.109,-0.994,0.074,-0.329,-0.091,0.778,-24.642765
2017-01-22 01:59:02,RH0020004,2,House,4,1791-12-14,,23,37,"TO AGREE TO THE SENATE AMENDMENT TO H.R. 147 WHICH WOULD FIX A CERTAIN NUMBER OF REPRESENTATIVES FOR EACH STATE, INSTEAD OF A RATIO OF 33,000 TO ONE.",Ratio of Representatives to Population,,Government Organization,,Miscellaneous Policy,1.5820837601884565,-0.6772399180438163,-0.192,-0.981,-0.122,0.446,0.391,0.763,-28.740594
2017-01-22 01:59:02,RH0020005,2,House,5,1791-12-14,,29,31,"TO AMEND H.R. 147 TO INCREASE THE RATIO TO 33,000 TO ONE FROM 30,000 TO ONE.  (P. 243)",Ratio of Representatives to Population,,Government Organization,,Miscellaneous Policy,3.6805257073832793,-1.0679366839196527,0.26,-0.111,-0.777,1.221,0.793,0.898,-12.932944
2017-01-22 01:59:02,RH0020006,2,House,6,1791-12-19,,27,33,"TO RECEDE FROM DISAGREEMENT TO THE SENATE AMENDMENT TO H.R. 147 WHICH WOULD INCREASE THE RATIO FROM ONE TO 30,000, TO ONE TO 33,000.",Ratio of Representatives to Population,,Government Organization,,Miscellaneous Policy,3.209442730798302,-1.1012662553915924,0.24,-0.331,-0.192,0.346,0.815,0.917,-20.837783
2017-01-22 01:59:02,RH0020007,2,House,7,1791-12-19,,32,27,"TO ADHERE TO THE DISAGREEMENT TO THE SENATE AMENDMENT TO H.R. 147, TO CHANGE THE RATIO OF REPRESENTATION FROM ONE TO 30,000 TO ONE TO 33,000.  (P. 274)",Ratio of Representatives to Population,,Government Organization,,Miscellaneous Policy,3.121604386653451,-1.0339288992639575,0.205,-0.394,0.197,-0.365,0.815,0.915,-20.297815
2017-01-22 01:59:02,RH0020008,2,House,8,1792-01-02,,24,27,"TO AMEND S. 25, (APP. 3/1/1792), RELATIVE TO THE ELECTION OF A PRESIDENT AND VICE PRESIDENT, BY ELIMINATING FROM THE SECTION PROVIDING ""THAT IN CASE OF VACANCIES IN THE OFFICES OF PRESIDENT AND VICE PRESIDENT, THE PRESIDENT OF THE SENATE PRO TEM, OR THE PEAKER OF THE HOUSE OF REPRESENTATIVES SHALL ACT AS PRESIDENT, ""THE WORDS THE PRESIDENT OF THE SENATE PRO TEM.""",Electoral Votes,,Government Organization,,Miscellaneous Policy,3.4502662173154586,-0.7378010648692618,0.004,-0.724,0.173,-0.29,0.583,0.804,-23.236158
2017-01-22 01:59:02,RH0020009,2,House,9,1792-01-02,,26,25,"TO AMEND S. 25, BY STRIKING OUT ""AND IN CASE THERE SHALL BE NO PRESIDENT OF THE SENATE, THEN THE SPEAKER OF THE HOUSE OF REPRESENTATIVES FOR THE TIME BEING.""",Electoral Votes,,Government Organization,,Miscellaneous Policy,3.3164056334435013,-0.799281284527164,-0.056,-0.985,0.207,-0.361,0.56,0.784,-23.073295
2017-01-22 01:59:02,RH0020010,2,House,10,1792-01-05,,14,43,"TO AMEND H.R. 154, (APP. 2/20/1792, 1 STAT 232), TO ESTABLISH THE POST OFFICE AND POST ROADS WITHIN THE UNITED STATES, BY PROVIDING THAT WHEREVER ANY EXCLUSIVE PRIVILEGE OF CONVEYING PASSENGERS IN STAGE CARRIAGES ON ANY POST ROADS HAD BEEN GRANTED BY ANYSTATE FOR A TERM OF YEARS, SUCH PRIVILEGE SHALL CONTINUE IN FORCE UNTIL TERM EXPIRES.",,,Government Organization,,Government Management,2.438416981845269,1.0549065590012123,-0.716,-0.691,0.121,-0.287,-0.071,0.737,-30.504472
