date_generated,id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-01-23 13:12:32,RH0570001,57,House,1,1901-12-02,,342,2,"TO ELECT A SPEAKER OF THE HOUSE FOR THE 57TH CONGRESS VOTES FOR HENDERSON (REP) ARE CODED 2, FOR RICHARDSON (DEM) ARE CODED 1, FOR STARK, 5, AND FOR CUMMING, 6.",Election of the Speaker of the House,,Internal Organization,,Miscellaneous Policy,0.0,0.0,0.0,0.0,,,0.0,
2017-01-23 13:12:32,RH0570002,57,House,2,1901-12-02,,180,143,"TO ORDER THE PREVIOUS QUESTION ON A RESOLUTION ADOPTING THE RULES OF THE 56TH CONGRESS WITH MODIFICATIONS, AS THE RULES OF THE 57TH CONGRESS.  (P. 45-1)",,,Internal Organization,,Miscellaneous Policy,0.072,0.001,-0.737,0.011,1.0,1.0,-0.201361,0.999
2017-01-23 13:12:32,RH0570003,57,House,3,1901-12-02,,144,186,TO REFER TO THE COMMITTEE ON RULES A RESOLUTION ADOPTING THE RULES OF THE 56TH CONGRESS WITH MODIFICATIONS AS THE RULES OF THE 57TH CONGRESS.,,,Internal Organization,,Miscellaneous Policy,-0.004,-0.026,0.357,-0.004,0.986,0.994,-6.689865,0.98
2017-01-23 13:12:32,RH0570004,57,House,4,1901-12-18,,122,175,"TO RECOMMIT TO THE COMMITTEE ON WAYS AND MEANS H.R. 5833 (32 STAT 54, 3/8/02), A BILL TO TEMPORARILY PROVIDE REVENUE FOR THE PHILIPPINE ISLANDS, WITH INSTRUCTIONS REDUCING THE TARIFF AND INTERNAL-REVENUE LAWS NOW IN FORCE IN OTHER PORTIONS OF THE U.S. TOA REVENUE BASIS AND APPLYING THE SAME TO ALL PORTIONS OF THE U.S",,,Foreign Policy Budget,,Foreign and Defense Policy,-0.042,0.902,0.28,-0.018,0.942,0.976,-26.874164,0.913
2017-01-23 13:12:32,RH0570005,57,House,5,1901-12-18,,167,128,"TO PASS H.R. 5833 (32 STAT 54, 3/8/02), A BILL PROVIDING TEMPORARILY FOR REVENUE FOR THE PHILIPPINE ISLANDS.",,,Foreign Policy Budget,,Foreign and Defense Policy,0.009,0.86,-0.236,-0.05,0.921,0.966,-38.763232,0.877
2017-01-23 13:12:32,RH0570006,57,House,6,1902-01-09,,308,2,"TO PASS H.R. 3110 (32 STAT 48, 6/28/02), A BILL PROVIDING FOR THE CONSTRUCTION OF A CANAL CONNECTING THE WATERS OF THE ATLANTIC AND PACIFIC OCEAN.  (P. 557-2)",Public Works,,Budget Special Interest,,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-01-23 13:12:32,RH0570007,57,House,7,1902-01-24,,180,107,"TO AMEND H.R. 9315 (32 STAT 5, 2/14/02), A BILL MAKING APPROPRIATION TO SUPPLY URGENT DEFICIENCIES IN APPROPRIATIONS FOR THE FISCAL YEAR ENDING 6/30/1902 AND PRIOR YRS. AND FOR OTHER PURPOSES.  (P. 889-1)",,,Budget Special Interest,,Government Management,-0.138,-0.545,-0.241,-0.049,0.811,0.93,-44.851599,0.855
2017-01-23 13:12:32,RH0570008,57,House,8,1902-01-24,,126,159,"TO RECOMMIT TO THE COMMITTEE ON APPROPRIATIONS H.R. 9315 (32 STAT 5, 3/14/02), A BILL MAKING APPROPRIATIONS TO SUPPLY URGENT DEFICIENCIES IN APPROPRIATION FOR FISCAL 1902 AND PRIOR YEARS.",,,Budget Special Interest,,Government Management,0.152,-0.004,0.535,-0.158,0.984,0.993,-4.73533,0.984
2017-01-23 13:12:32,RH0570009,57,House,9,1902-01-27,,109,88,TO RESOLVE THE HOUSE INTO THE COMMITTEE OF THE WHOLE FOR THE CONSIDERATION OF THE BILLS ON THE CALENDAR.  (P. 1028-2),,,Internal Organization,,Miscellaneous Policy,-0.052,-0.03,-0.215,0.091,0.932,0.97,-23.693979,0.887
2017-01-23 13:12:32,RH0570010,57,House,10,1902-01-31,,154,71,"TO PASS H. RES. 111, PROVIDING FOR CONSIDERATION OF H.R. 9206, THE OLEOMARGARINE BILL, UNTIL IT HAS BEEN DISPOSED OF.  (P. 1179-1)",Agriculture,,Regulation Special Interest,Domestic Social Policy,Agriculture,-0.544,0.826,-0.326,-0.66,0.817,0.942,-52.532726,0.792
2017-01-23 13:12:32,RH0570011,57,House,11,1902-02-01,,187,21,"TO PASS S. 1747 (34 STAT 33, 2/11/02), PROHIBITING THE SALE OF FIRE-ARMS, OPIUM, AND INTOXICATING LIQUORS TO ABORIGINAL NATIVES IN CERTAIN ISLANDS OF THE PACIFIC.  (P. 1202-1)",Temperance and Liquor,,Foreign Policy Resolutions,Regulation Special Interest,Foreign and Defense Policy,-0.144,-0.685,-0.136,-0.537,0.286,0.928,-42.719983,0.814
2017-01-23 13:12:32,RH0570012,57,House,12,1902-02-03,,66,190,TO ADJOURN.,,,Internal Organization,,Miscellaneous Policy,-0.438,0.404,0.261,0.411,0.712,0.926,-54.917698,0.807
