date_generated,id,congress,chamber,rollnumber,date,keyvote,question,description,yea,nay,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-02-01 05:20:49,RH0910001,91,House,1,1969-01-03,,,ELEC. SPEAKER,241,187,Election of the Speaker of the House,,Internal Organization,,Miscellaneous Policy,0.013,0.073,0.726,-1.313,0.984,0.993,-12.374,0.971
2017-02-01 05:20:49,RH0910002,91,House,2,1969-01-03,,,ADMIN. OATH ADAM CLAYTON POWELL,176,248,,,Internal Organization,,Miscellaneous Policy,-0.225,0.339,0.308,0.631,0.807,0.92,-86.132,0.816
2017-02-01 05:20:49,RH0910003,91,House,3,1969-01-03,,,ADMIN. OATH ADAM CLAYTON POWELL,172,252,,,Internal Organization,,Miscellaneous Policy,-0.335,0.642,0.319,0.598,0.826,0.929,-88.912,0.81
2017-02-01 05:20:49,RH0910004,91,House,4,1969-01-03,,,SP. COMM. LOOK IN TO POWELL SEATING,131,291,,,Internal Organization,,Miscellaneous Policy,-0.094,-0.996,-0.09,0.176,0.176,0.743,-209.265,0.608
2017-02-01 05:20:49,RH0910005,91,House,5,1969-01-03,CQ,,FINE POWELL & STRIP SENIORITY,249,171,,,Internal Organization,,Miscellaneous Policy,0.239,-0.112,0.186,0.843,0.682,0.871,-136.069,0.723
2017-02-01 05:20:49,RH0910006,91,House,6,1969-01-03,,,FINE POWELL & STRIP SENIORITY,254,158,,,Internal Organization,,Miscellaneous Policy,0.278,-0.13,0.194,0.815,0.675,0.876,-135.734,0.719
2017-02-01 05:20:49,RH0910007,91,House,7,1969-02-05,,,OBJECT TO ELECTORAL VOTE IN N.C.,170,228,Electoral Votes,,Government Organization,,Government Management,-0.144,0.07,0.11,0.303,0.453,0.766,-188.505,0.622
2017-02-01 05:20:49,RH0910008,91,House,8,1969-02-05,,,ADJOURN,240,125,,,Internal Organization,,Miscellaneous Policy,-0.155,0.967,0.114,0.243,0.161,0.714,-181.945,0.607
2017-02-01 05:20:49,RH0910009,91,House,9,1969-02-18,,,CHANGE HUAAC TO HOUSE COMM. ON INT. SECURITY,272,133,Communists/Communism/Unamerican Activities,,Internal Organization,,Miscellaneous Policy,-0.277,0.114,-0.446,-1.253,0.774,0.926,-73.355,0.834
2017-02-01 05:20:49,RH0910010,91,House,10,1969-02-18,,,CHANGE HUAAC TO HOUSE COMM. ON INT. SECURITY,308,81,Communists/Communism/Unamerican Activities,,Internal Organization,,Miscellaneous Policy,-0.406,0.081,-0.287,-0.727,0.704,0.938,-73.207,0.828
2017-02-01 05:20:49,RH0910011,91,House,11,1969-03-12,,,INC. PART. INTL. DEVELOP. ASSN.,155,242,,,Foreign Policy Budget,,Foreign and Defense Policy,0.153,-0.042,-0.202,-0.584,0.632,0.856,-128.52,0.723
2017-02-01 05:20:49,RH0910012,91,House,12,1969-03-12,,,INC. PART. INTL. DEVELOP. ASSN.,252,154,,,Foreign Policy Budget,,Foreign and Defense Policy,0.325,-0.324,0.246,0.752,0.662,0.872,-124.981,0.735
2017-02-01 05:20:49,RH0910013,91,House,13,1969-03-18,,,EXTEND TIME FOR GOVT. REORG.,336,44,,,Government Organization,,Government Management,-0.767,-0.642,-0.231,0.326,-0.023,0.882,-121.44,0.726
2017-02-01 05:20:49,RH0910014,91,House,14,1969-03-18,,,UNIFORM OBSERV. CERT. NATL. HOLIDAYS,164,213,,,Government Organization,,Government Management,-0.067,-0.063,0.125,0.346,0.579,0.817,-163.018,0.649
2017-02-01 05:20:49,RH0910015,91,House,15,1969-03-19,,,ADD $25B TO DEBT CEILING,318,97,Debt Ceilings,,Budget General Interest,,Government Management,0.634,-0.472,0.137,0.321,0.186,0.809,-186.129,0.638
2017-02-01 05:20:49,RH0910016,91,House,16,1969-03-27,,,PROCURE MIL. AIRCRAFT,342,21,,,Defense Policy Budget,,Foreign and Defense Policy,-0.622,0.018,-0.566,-1.283,0.714,0.983,-21.525,0.942
2017-02-01 05:20:49,RH0910017,91,House,17,1969-04-01,,,APPS. HOU. COMM. INT. SEC.,83,293,Communists/Communism/Unamerican Activities,,Internal Organization,Budget Special Interest,Government Management,-0.262,-0.2,0.387,1.07,0.711,0.936,-65.408,0.84
2017-02-01 05:20:49,RH0910018,91,House,18,1969-04-01,,,APPS. HOU. COMM. INT. SEC.,315,61,Communists/Communism/Unamerican Activities,,Internal Organization,Budget Special Interest,Government Management,-0.393,-0.096,-0.571,-1.265,0.623,0.939,-49.209,0.877
2017-02-01 05:20:49,RH0910019,91,House,19,1969-04-16,,,AMEND WATER POLLUTION CONTROL ACT,393,1,Pollution and Environmental Protection,,Regulation General Interest,,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-02-01 05:20:49,RH0910020,91,House,20,1969-04-23,,,ELEM. & SEC. SCH. ASST.,239,187,Education,,Budget Special Interest,,Social Welfare,-0.119,0.006,-0.346,-0.225,0.914,0.962,-66.211,0.856
2017-02-01 05:20:49,RH0910021,91,House,21,1969-04-23,,,ELEM. & SEC. SCH. ASST.,401,17,Education,,Budget Special Interest,,Social Welfare,0.186,0.983,0.149,0.555,0.0,0.959,-47.196,0.893
2017-02-01 05:20:49,RH0910022,91,House,22,1969-04-29,,,COAST GUARD PROCUREMENT,385,2,,,Defense Policy Budget,,Foreign and Defense Policy,0.0,0.0,0.0,0.0,,,0.0,
2017-02-01 05:20:49,RH0910023,91,House,23,1969-05-01,,,SELECT COMM. TO STUDY CRIME,348,18,,,Internal Organization,,Miscellaneous Policy,0.57,-0.039,0.194,0.057,0.0,0.953,-57.258,0.855
2017-02-01 05:20:49,RH0910024,91,House,24,1969-05-06,,,SP. MILK PROGRAM FOR CHILDREN,385,3,"Children (aid, infant mortality, etc.)",,Domestic Social Policy,,Social Welfare,0.0,0.0,0.0,0.0,,,0.0,
2017-02-01 05:20:49,RH0910025,91,House,25,1969-05-21,,,CEILING ON EXPENDITURES 1970,326,53,,,Budget General Interest,,Government Management,-0.566,0.261,-0.21,-0.324,0.321,0.905,-85.42,0.798
2017-02-01 05:20:49,RH0910026,91,House,26,1969-05-21,,,ANTI-DISORDER PROV. AID TO COLLEGES,334,66,Vietnam War,,Domestic Social Policy,,Civil Liberties,-0.471,0.101,-0.334,-0.774,0.682,0.947,-63.214,0.853
2017-02-01 05:20:49,RH0910027,91,House,27,1969-05-21,,,SUPPLEMENTAL APPS,349,40,,,Budget Special Interest,,Government Management,-0.803,0.596,-0.233,-0.412,0.35,0.933,-82.729,0.808
2017-02-01 05:20:49,RH0910028,91,House,28,1969-05-27,,,"LIMIT SUBSIDY PAYMENTS TO $20,000",244,162,Agriculture,,Budget Special Interest,,Agriculture,-0.429,0.412,0.041,0.555,0.453,0.783,-186.188,0.631
2017-02-01 05:20:49,RH0910029,91,House,29,1969-05-27,,,AGRIC. DEPT. APPS.,328,55,Agriculture,,Budget Special Interest,,Agriculture,-0.792,-0.129,-0.096,-0.407,0.073,0.866,-136.206,0.7
2017-02-01 05:20:49,RH0910030,91,House,30,1969-05-27,,,"APPS. TREAS., POST OFF., EXEC. OFF. PRES.",346,12,,,Budget Special Interest,,Government Management,0.499,0.357,0.225,0.279,0.25,0.975,-35.405,0.906
2017-02-01 05:20:49,RH0910031,91,House,31,1969-05-27,,,"LIMIT $20,000 SUBSIDY DISTR. OF 2ND CLASS MAIL",99,241,,,Budget Special Interest,,Government Management,0.114,0.529,-0.009,-0.333,0.327,0.805,-169.001,0.607
2017-02-01 05:20:49,RH0910032,91,House,32,1969-05-27,,,"APPS. TREAS., POST OFF., EXEC. OFF. PRES.",327,6,,,Budget Special Interest,,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-02-01 05:20:49,RH0910033,91,House,33,1969-06-02,,,STUDY STATE LAWS ON YOUTH CAMPS,195,175,"Children (aid, infant mortality, etc.)",,Domestic Social Policy,,Social Welfare,-0.203,0.376,0.171,0.51,0.709,0.862,-126.349,0.711
2017-02-01 05:20:49,RH0910034,91,House,34,1969-06-02,,,VET'S ASST. OLDER VETS,304,3,Military Pensions/Veterans Benefits,,Defense Policy Budget,,Foreign and Defense Policy,0.0,0.0,0.0,0.0,,,0.0,
2017-02-01 05:20:49,RH0910035,91,House,35,1969-06-04,,,CONSTR. & MODERNIZATION OF HOSPITALS,352,1,Public Health,,Budget Special Interest,,Social Welfare,0.0,0.0,0.0,0.0,,,0.0,
