id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,slope,intercept,mid.dim1,mid.dim2,spread.dim1,spread.dim2
RH1030001,103,House,1,1993-01-05,,255,174,"(THOMAS S. FOLEY, OF THE STATE OF WASHINGTON, WAS ELECTED SPEAKER OF THE HOUSE OF REPRESENTATIVES OVER ROBERT H. MICHEL OF ILLINOIS.)",,Election of the Speaker of the House,Internal Organization,,Miscellaneous Policy,5.674996589274966,-0.3651747919457729,0.061,-0.019,0.731,-0.745
RH1030002,103,House,2,1993-01-05,,224,176,"H.RES.5    BY GEPHARDT (D-MO) -- RESOLUTION ADOPTING THE RULES OF THE HOUSE FOR THE 103D CONGRESS (HOUSE AGREED TO THE GEPHARDT MOTION TO TABLE THE SOLOMON MOTION THAT SOUGHT TO REFER THE RESOLUTION TO A SELECT COMMITTEE OF FIVE MEMBERS WITH INSTRUCTIONS TO CONDUCT A FULL STUDY OF, AND MAKE A DETERMINATION ON, THE CONSTITUTIONALITY OF THOSE PROVISIONS WHICH WOULD GRANT VOTING RIGHTS IN THE COMMITTEE OF THE WHOLE TO THE RESIDENT COMMISSIONER FROM PUERTO RICO AND THE DELEGATES FROM AMERICAN SAMOA, THE DISTRICT OF COLUMBIA, GUAM, AND THE VIRGIN ISLANDS.)",,,Internal Organization,,Miscellaneous Policy,10.625836676797574,0.2924966532928097,0.004,0.335,0.316,-0.172
RH1030003,103,House,3,1993-01-05,,249,176,(HOUSE AGREED TO ORDER THE PREVIOUS QUESTION ON THE RESOLUTION.),,,Internal Organization,,Miscellaneous Policy,6.067636695892848,-0.08987927704660702,0.013,-0.011,0.406,-0.387
RH1030004,103,House,4,1993-01-05,,187,238,"(HOUSE REJECTED THE MICHEL MOTION TO COMMIT THE RESOLUTION TO A SELECT COMMITTEE WITH INSTRUCTIONS TO REPORT THE RESOLUTION BACK TO THE HOUSE FORTHWITH WITH AMENDMENTS STRIKING THE LANGUAGE REGARDING THE RIGHTS OF DELEGATES AND THE RESIDENT COMMISSIONER FROM PUERTO RICO TO VOTE IN AND PRESIDE OVER THE COMMITTEE OF THE WHOLE, AND ADDING LANGUAGE THAT WOULD LIMIT THE TERM LIMITS OF CHAIRMEN AND RANKING MINORITY MEMBERS OF EACH STANDING COMMITTEE.)",,,Internal Organization,,Miscellaneous Policy,11.028514031795329,0.48716907530360853,-0.041,0.035,-0.307,0.161
RH1030005,103,House,5,1993-01-05,,221,199,"(HOUSE PASSED H. RES. 5, ADOPTING THE RULES OF THE HOUSE FOR THE 103RD CONGRESS.)",,,Internal Organization,,Miscellaneous Policy,-997.6853613942532,-90.79236788687703,-0.091,-0.003,0.345,0.002
RH1030006,103,House,6,1993-01-26,,245,136,"(HOUSE APPROVED THE JOURNAL OF MONDAY, JANUARY 25, 1993.)",,,Internal Organization,,Miscellaneous Policy,2.240159007008938,-0.5883980026751362,0.239,-0.053,0.275,-0.71
RH1030007,103,House,7,1993-01-26,,237,180,"H.RES.20   BY RANGEL, CHARLES (D-NY) -- RESOLUTION ESTABLISHING THE SELECT COMMITTEE ON NARCOTICS ABUSE AND CONTROL (HOUSE AGREED TO ORDER THE PREVIOUS QUESTION ON THE RESOLUTION.)",Narcotics,,Internal Organization,,Miscellaneous Policy,7.611427313228006,0.24411996477038417,-0.028,0.031,0.304,-0.231
RH1030008,103,House,8,1993-01-26,,180,237,"(HOUSE FAILED TO PASS H.RES. 20, TO ESTABLISH THE SELECT COMMITTEE ON NARCOTICS ABUSE AND CONTROL.)",Narcotics,,Internal Organization,,Miscellaneous Policy,-50.89641263924307,-9.103700910753592,-0.167,-0.604,0.132,0.015
RH1030009,103,House,9,1993-01-27,,246,146,"(HOUSE APPROVED THE JOURNAL OF TUESDAY, JANUARY 26, 1993.)",,,Internal Organization,,Miscellaneous Policy,1.9649248031356796,-0.45426484842331677,0.135,-0.189,0.283,-0.833
RH1030010,103,House,10,1993-02-03,,246,176,H.RES.58   BY GORDON (D-TN) -- PROCEDURAL RESOLUTION - H.R. 1 (HOUSE AGREED TO ORDER THE PREVIOUS QUESTION ON THE RESOLUTION.),,,Internal Organization,,Miscellaneous Policy,8.293801786894836,-0.06676281072136903,0.006,-0.017,0.717,-0.5
