date_generated,id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-01-23 13:12:32,RH1130001,113,House,1,2013-01-03,,220,192,JOHN BOEHNER ELECTED SPEAKER OF THE HOUSE,Election of the Speaker of the House,,Internal Organization,,Miscellaneous Policy,0.061,0.358,-0.747,0.288,1.0,1.0,-0.318,0.999
2017-01-23 13:12:32,RH1130002,113,House,2,2013-01-03,,224,187,Adopting rules for the One Hundred Thirteenth Congress,,,Internal Organization,,Miscellaneous Policy,0.056,0.197,-0.732,0.309,1.0,1.0,-0.304,0.999
2017-01-23 13:12:32,RH1130003,113,House,3,2013-01-03,,227,191,Adopting rules for the One Hundred Thirteenth Congress,,,Internal Organization,,Miscellaneous Policy,0.155,0.562,-0.724,0.438,0.995,0.998,-5.31,0.987
2017-01-23 13:12:32,RH1130004,113,House,4,2013-01-03,,194,229,Adopting rules for the One Hundred Thirteenth Congress,,,Internal Organization,,Miscellaneous Policy,0.135,0.976,0.771,-0.249,0.995,0.998,-4.795,0.989
2017-01-23 13:12:32,RH1130005,113,House,5,2013-01-03,,228,196,Adopting rules for the One Hundred Thirteenth Congress,,,Internal Organization,,Miscellaneous Policy,0.168,0.695,-0.721,0.461,0.995,0.998,-5.346,0.987
2017-01-23 13:12:32,RH1130006,113,House,6,2013-01-04,,354,67,To temporarily increase the borrowing authority of the Federal Emergency Management Agency for carrying out the National Flood Insurance Program,Public Safety,,Budget Special Interest,,Government Management,0.586,-0.254,1.333,-0.592,0.373,0.9,-92.843,0.802
2017-01-23 13:12:32,RH1130007,113,House,7,2013-01-14,,403,0,"To improve and streamline disaster assistance for Hurricane Sandy, and for other purposes",,,Budget Special Interest,,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-01-23 13:12:32,RH1130008,113,House,8,2013-01-14,,300,95,APPROVE JOURNAL,,,Internal Organization,,Miscellaneous Policy,0.776,-0.423,0.067,-0.114,-0.042,0.749,-218.482,0.575
2017-01-23 13:12:32,RH1130009,113,House,9,2013-01-14,,4,397,ADJOURN,,,Internal Organization,,Miscellaneous Policy,0.0,0.0,0.0,0.0,,,0.0,
2017-01-23 13:12:32,RH1130010,113,House,10,2013-01-15,,293,127,"Providing for consideration of the bill (H.R. 152) making supplemental appropriations for the fiscal year ending September 30, 2013, and for other purposes",,,Budget Special Interest,,Government Management,-0.277,0.186,-0.21,0.13,0.465,0.838,-119.591,0.752
2017-01-23 13:12:32,RH1130011,113,House,11,2013-01-15,,367,52,"Providing for consideration of the bill (H.R. 152) making supplemental appropriations for the fiscal year ending September 30, 2013, and for other purposes",,,Budget Special Interest,,Government Management,-0.2,0.98,-0.142,0.294,-0.154,0.857,-127.292,0.738
2017-01-23 13:12:32,RH1130012,113,House,12,2013-01-15,,0,419,ADJOURN,,,Internal Organization,,Miscellaneous Policy,0.0,0.0,0.0,0.0,,,0.0,
2017-01-23 13:12:32,RH1130013,113,House,13,2013-01-15,,162,259,Mulvaney of South Carolina Part B Amendment,,,Budget Special Interest,,Government Management,0.317,-0.516,-0.198,0.056,0.735,0.898,-114.688,0.762
2017-01-23 13:12:32,RH1130014,113,House,14,2013-01-15,,327,91,Rogers of Kentucky Part A Substitute Amendment,,,Budget Special Interest,,Government Management,0.536,-0.003,1.335,-0.435,0.516,0.895,-100.873,0.786
2017-01-23 13:12:32,RH1130015,113,House,15,2013-01-15,,221,197,Flores of Texas Part C Amdt. No. 2 to Frelinghuysen of New Jersey Amdt.,,,Budget Special Interest,,Government Management,0.23,-0.35,-0.223,-0.374,0.893,0.95,-56.034,0.875
2017-01-23 13:12:32,RH1130016,113,House,16,2013-01-15,,206,214,Broun of Georgia Part C Amdt. No. 4 to Frelinghuysen of New Jersey Amdt.,,,Budget Special Interest,,Government Management,0.218,-0.153,-0.218,-0.115,0.879,0.94,-66.7,0.853
2017-01-23 13:12:32,RH1130017,113,House,17,2013-01-15,,202,217,Duncan of South Carolina Part C Amdt. No. 5 to Frelinghuysen of New Jersey Amdt.,,,Budget Special Interest,,Government Management,0.21,0.059,-1.213,-1.476,0.896,0.95,-62.305,0.862
2017-01-23 13:12:32,RH1130018,113,House,18,2013-01-15,,216,205,"Fleming of Louisiana Part C Amdt. No. 9, as Modified to Frelinghuysen of New Jersey Amdt.",,,Budget Special Interest,,Government Management,0.178,-0.473,-0.243,-0.092,0.917,0.96,-49.661,0.889
2017-01-23 13:12:32,RH1130019,113,House,19,2013-01-15,,208,212,Benishek of Michigan Part C Amdt. No. 10 to Frelinghuysen of New Jersey Amdt.,,,Budget Special Interest,,Government Management,0.349,-0.902,-0.261,-0.236,0.856,0.929,-70.26,0.846
2017-01-23 13:12:32,RH1130020,113,House,20,2013-01-15,,223,198,Bishop of Utah Part C Amdt. No. 11 to Frelinghuysen of New Jersey Amdt.,Public Lands,,Budget Special Interest,,Government Management,0.039,0.17,-0.237,-0.339,0.934,0.969,-39.016,0.911
2017-01-23 13:12:32,RH1130021,113,House,21,2013-01-15,,228,192,"Frelinghuysen of New Jersey Part C Amendment No. 1, as Amended",,,Budget Special Interest,,Government Management,0.234,0.965,1.334,0.166,0.849,0.931,-79.888,0.827
2017-01-23 13:12:32,RH1130022,113,House,22,2013-01-15,CQ,242,180,"Making supplemental appropriations for the fiscal year ending September 30, 2013, and for other purposes",,,Budget Special Interest,,Government Management,0.324,-0.344,1.355,0.379,0.817,0.922,-83.124,0.821
2017-01-23 13:12:32,RH1130023,113,House,23,2013-01-22,,395,29,"To reauthorize certain programs under the Public Health Service Act and the Federal Food, Drug, and Cosmetic Act with respect to public health security and all-hazards preparedness and response, and for other purposes",Public Health,,Domestic Social Policy,Budget Special Interest,Social Welfare,0.782,-0.228,1.514,-0.326,0.069,0.936,-64.786,0.858
2017-01-23 13:12:32,RH1130024,113,House,24,2013-01-22,,0,416,ADJOURN,,,Internal Organization,,Miscellaneous Policy,0.0,0.0,0.0,0.0,,,0.0,
2017-01-23 13:12:32,RH1130025,113,House,25,2013-01-23,,232,193,"Providing for consideration of the bill (H.R. 325) to ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes",Debt Ceilings,,Budget General Interest,,Government Management,-0.024,0.287,-0.706,0.625,0.984,0.993,-7.529,0.982
2017-01-23 13:12:32,RH1130026,113,House,26,2013-01-23,,234,190,"Providing for consideration of the bill (H.R. 325) to ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes",Debt Ceilings,,Budget General Interest,,Government Management,-0.038,0.156,-1.298,-0.091,0.963,0.983,-21.449,0.951
2017-01-23 13:12:32,RH1130027,113,House,27,2013-01-23,,291,129,APPROVE JOURNAL,,,Internal Organization,,Miscellaneous Policy,0.793,-0.609,0.022,-0.175,0.0,0.693,-252.638,0.548
2017-01-23 13:12:32,RH1130028,113,House,28,2013-01-23,,151,277,"To ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes",Debt Ceilings,,Budget General Interest,,Government Management,0.164,0.986,0.164,-0.276,0.669,0.883,-131.62,0.735
2017-01-23 13:12:32,RH1130029,113,House,29,2013-01-23,CQ,285,144,"To ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes",Debt Ceilings,,Budget General Interest,,Government Management,-0.593,0.805,-0.176,-0.312,0.451,0.816,-188.51,0.644
2017-01-23 13:12:32,RH1130030,113,House,30,2013-02-04,,375,27,"To amend title IV of the Public Health Service Act to provide for a National Pediatric Research Network, including with respect to pediatric rare diseases or conditions","Children (aid, infant mortality, etc.)",Public Health,Budget Special Interest,,Social Welfare,0.724,-0.507,1.261,-0.115,0.111,0.94,-49.969,0.883
2017-01-23 13:12:32,RH1130031,113,House,31,2013-02-04,,352,50,To amend the Public Health Service Act to reauthorize support for graduate medical education programs in children’s hospitals,"Children (aid, infant mortality, etc.)",Public Health,Budget Special Interest,,Social Welfare,0.661,-0.696,1.039,0.207,0.34,0.918,-96.544,0.787
2017-01-23 13:12:32,RH1130032,113,House,32,2013-02-05,,229,188,"Providing for consideration of the bill (H.R. 444) to require that, if the President’s fiscal year 2014 budget does not achieve balance in a fiscal year covered by such budget, the President shall submit a supplemental unified budget by April 1, 2013, whch identifies a fiscal year in which balance is achieved",Budget resolution ,,Budget General Interest,Government Organization,Government Management,0.167,-0.812,-0.668,-0.841,0.979,0.99,-10.774,0.974
2017-01-23 13:12:32,RH1130033,113,House,33,2013-02-05,,228,189,"Providing for consideration of the bill (H.R. 444) to require that, if the President’s fiscal year 2014 budget does not achieve balance in a fiscal year covered by such budget, the President shall submit a supplemental unified budget by April 1, 2013, whch identifies a fiscal year in which balance is achieved",Budget resolution ,,Budget General Interest,Government Organization,Government Management,0.12,0.822,-0.964,0.928,0.984,0.993,-14.85,0.965
2017-01-23 13:12:32,RH1130034,113,House,34,2013-02-06,,194,228,Takano of California Amendment No. 1,Budget resolution ,,Budget General Interest,Government Organization,Government Management,-0.08,0.997,1.186,0.559,0.985,0.993,-23.402,0.946
2017-01-23 13:12:32,RH1130035,113,House,35,2013-02-06,,75,348,Schrader of Oregon Amendment No. 2,Budget resolution ,,Budget General Interest,Government Organization,Government Management,0.052,0.997,0.044,-0.274,0.0,0.823,-194.088,0.632
2017-01-23 13:12:32,RH1130036,113,House,36,2013-02-06,,194,229,"To require that, if the President’s fiscal year 2014 budget does not achieve balance in a fiscal year covered by such budget, the President shall submit a supplemental unified budget by April 1, 2013, which identifies a fiscal year in which balance is acieved, and for other purposes",Budget resolution ,,Budget General Interest,Government Organization,Government Management,-0.005,0.02,0.724,0.341,0.995,0.998,-2.551,0.994
2017-01-23 13:12:32,RH1130037,113,House,37,2013-02-06,,253,167,"To require that, if the President’s fiscal year 2014 budget does not achieve balance in a fiscal year covered by such budget, the President shall submit a supplemental unified budget by April 1, 2013, which identifies a fiscal year in which balance is acieved, and for other purposes",Budget resolution ,,Budget General Interest,Government Organization,Government Management,-0.216,0.281,-0.289,-0.164,0.862,0.945,-50.249,0.887
2017-01-23 13:12:32,RH1130038,113,House,38,2013-02-13,,354,72,"To amend the Robert T. Stafford Disaster Relief and Emergency Assistance Act to clarify that houses of worship are eligible for certain disaster relief and emergency assistance on terms equal to other eligible private nonprofit facilities, and for other urposes",Religion,,Budget Special Interest,,Social Welfare,-0.223,-0.471,-0.107,-0.553,0.167,0.859,-130.546,0.736
2017-01-23 13:12:32,RH1130039,113,House,39,2013-02-13,,422,0,Hydropower Regulatory Efficiency Act of 2013,Energy,,Regulation Special Interest,,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-01-23 13:12:32,RH1130040,113,House,40,2013-02-14,,229,194,"Providing for consideration of the bill (H.R. 273) to eliminate the 2013 statutory pay adjustment for Federal employees, and for other purposes",Congressional Pay and Benefits,,Budget Special Interest,,Government Management,0.074,-0.496,-0.717,-0.619,0.99,0.995,-5.315,0.988
2017-01-23 13:12:32,RH1130041,113,House,41,2013-02-14,,227,192,"Providing for consideration of the bill (H.R. 273) to eliminate the 2013 statutory pay adjustment for Federal employees, and for other purposes",Congressional Pay and Benefits,,Budget Special Interest,,Government Management,0.023,0.309,-1.283,0.252,0.984,0.993,-15.751,0.963
2017-01-23 13:12:32,RH1130042,113,House,42,2013-02-15,,222,190,Providing for the conditional adjournment of the House and Senate,,,Internal Organization,,Miscellaneous Policy,0.106,0.094,-0.693,-0.782,0.979,0.99,-7.426,0.982
2017-01-23 13:12:32,RH1130043,113,House,43,2013-02-15,,261,155,To eliminate the 2013 statutory pay adjustment for Federal employees,Congressional Pay and Benefits,,Budget Special Interest,,Government Management,-0.235,0.33,-0.17,-0.15,0.703,0.889,-109.816,0.768
2017-01-23 13:12:32,RH1130044,113,House,44,2013-02-15,,412,2,"Condemning the Government of North Korea for its flagrant and repeated violations of multiple United Nations Security Council resolutions, for its repeated provocations that threaten international peace and stabilitiy, and for its February 12, 2013, testof a nuclear device",Communists/Communism/Unamerican Activities,Nuclear Weapons,Defense Policy Budget,Defense Policy Resolutions,Foreign and Defense Policy,0.0,0.0,0.0,0.0,,,0.0,
2017-01-23 13:12:32,RH1130045,113,House,45,2013-02-25,,303,91,APPROVE JOURNAL,,,Internal Organization,,Miscellaneous Policy,0.91,-0.207,0.09,0.09,0.0,0.769,-213.71,0.581
2017-01-23 13:12:32,RH1130046,113,House,46,2013-02-25,,394,0,To redesignate the Dryden Flight Research Center as the Neil A. Armstrong Flight Research Center and the Western Aeronautical Test Range as the Hugh L. Dryden Aeronautical Test Range,,,Government Organization,,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-01-23 13:12:32,RH1130047,113,House,47,2013-02-26,,1,415,ADJOURN,,,Internal Organization,,Miscellaneous Policy,0.0,0.0,0.0,0.0,,,0.0,
2017-01-23 13:12:32,RH1130048,113,House,48,2013-02-26,,411,3,Academic Competition Resolution of 2013,Education,,Domestic Social Policy,Budget Special Interest,Social Welfare,0.0,0.0,0.0,0.0,,,0.0,
2017-01-23 13:12:32,RH1130049,113,House,49,2013-02-26,,290,118,APPROVE JOURNAL,,,Internal Organization,,Miscellaneous Policy,0.9,-0.437,0.059,-0.035,-0.008,0.708,-244.589,0.549
2017-01-23 13:12:32,RH1130050,113,House,50,2013-02-27,,229,196,"Providing for consideration of S. 47, the Violence Against Women Reauthorization Act of 2013",Women's Equality,,Domestic Social Policy,Budget Special Interest,Civil Liberties,-0.005,-0.034,-0.955,-0.829,0.99,0.995,-8.968,0.979
2017-01-23 13:12:32,RH1130051,113,House,51,2013-02-27,,414,9,"Providing for consideration of S. 47, the Violence Against Women Reauthorization Act of 2013",Women's Equality,,Domestic Social Policy,Regulation Special Interest,Civil Liberties,0.0,0.0,0.0,0.0,,,0.0,
2017-01-23 13:12:32,RH1130052,113,House,52,2013-02-27,,293,119,APPROVE JOURNAL,,,Internal Organization,,Miscellaneous Policy,0.935,-0.34,0.068,0.019,0.0,0.711,-248.08,0.548
2017-01-23 13:12:32,RH1130053,113,House,53,2013-02-28,,166,258,McMorris Rodgers of Washington Substitute Amendment,Women's Equality,,Domestic Social Policy,Regulation Special Interest,Civil Liberties,-0.19,0.898,-0.175,-0.512,0.657,0.866,-125.565,0.744
2017-01-23 13:12:32,RH1130054,113,House,54,2013-02-28,CQ,287,138,Violence Against Women Reauthorization Act of 2013,Women's Equality,,Domestic Social Policy,Regulation Special Interest,Civil Liberties,0.441,0.035,1.082,1.357,0.638,0.882,-107.794,0.776
2017-01-23 13:12:32,RH1130055,113,House,55,2013-03-04,,370,28,Pandemic and All-Hazards Preparedness Reauthorization Act of 2013,Public Health,,Domestic Social Policy,Budget Special Interest,Social Welfare,0.848,-0.232,1.645,-0.164,0.071,0.935,-69.627,0.84
2017-01-23 13:12:32,RH1130056,113,House,56,2013-03-05,,392,28,"To amend section 1105(a) of title 31, United States Code, to require that annual budget submissions of the President to Congress provide an estimate of the cost per taxpayer of the deficit, and for other purposes",,,Government Organization,,Government Management,-0.541,-0.076,-0.388,0.161,0.071,0.938,-60.336,0.866
