date_generated,id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-01-25 03:21:58,RS0400001,40,Senate,1,1867-03-08,,36,2,TO PASS S.J.R. 3 (15 STAT 20) TO SHOW GRATITUDE TO GOVERNOR PEABODY FOR CHARITABLE DONATIONS TO DISTRESSED SOUTH AND SOUTH WESTERN STATES FOR EDUCATIONAL PURPOSES. (P. 28-3),,,Government Organization,,Miscellaneous Policy,0.991,-0.052,0.149,0.273,0.0,0.947,-8.20089,0.806
2017-01-25 03:21:58,RS0400002,40,Senate,2,1867-03-08,,22,21,"TO REFER TO THE COMMITTEE ON PUBLIC BUILDINGS AND GROUNDS S.J.R. 7, A BILL TO DECLARE IT UNLAWFUL FOR ANY PERSON TO BRING SPIRITUOUS OR MALT LIQUORS, WINE, OR CIDER FOR SALE OR FOR ANY OTHER PURPOSE INTO THE CAPITOL BUILDING. (P. 30-7)",Temperance and Liquor,,Internal Organization,,Miscellaneous Policy,-0.154,-0.988,0.024,-0.057,0.143,0.581,-29.267053,0.506
2017-01-25 03:21:58,RS0400003,40,Senate,3,1867-03-11,,36,10,TO TABLE S. 7 PROVIDING FOR THE RECONSTRUCTION AND REHABILI- TATION OF THE SOUTHERN STATES.  (P. 49-3),Nullification/Secession/Reconstruction,,Government Organization,,Government Management,-0.205,0.979,0.155,0.677,0.2,0.826,-17.374407,0.685
2017-01-25 03:21:58,RS0400004,40,Senate,4,1867-03-12,,8,33,"TO CONSENT TO THE APPOINTMENT OF JOHN QUINCY ADAMS, NAVAL OFFICER FOR THE DISTRICT OF BOSTON AND CHARLESTOWN.",,,Defense Policy Resolutions,,Foreign and Defense Policy,0.086,-0.377,0.683,0.653,0.625,0.927,-5.566609,0.873
2017-01-25 03:21:58,RS0400005,40,Senate,5,1867-03-12,,17,30,TO CONSENT TO THE APPOINTMENT OF EDGAR COWAN OF PENNSYLVANIA TO BE ENVOY EXTRAORDINARY AND MINISTER PLENIPOTENTIARY OF THE UNITED STATES TO AUSTRIA.,,,Foreign Policy Resolutions,,Foreign and Defense Policy,0.121,-0.993,0.227,-0.006,0.471,0.809,-18.760938,0.671
2017-01-25 03:21:58,RS0400006,40,Senate,6,1867-03-14,,24,21,"TO CONSENT TO THE APPOINTMENT OF PARAN STEVENS, COMMISSIONER FOR THE UNITED STATES TO THE UNIVERSAL EXPOSITION AT PARIS.",,,Foreign Policy Resolutions,,Foreign and Defense Policy,-0.134,0.991,0.047,0.109,0.0,0.533,-30.034866,0.513
2017-01-25 03:21:58,RS0400007,40,Senate,7,1867-03-14,,17,27,"TO AMEND THE AMENDMENT TO BILL H.R. 33 (15 STAT L 2), AN ACT TO PROVIDE FOR THE MORE EFFICIENT GOVERNMENT OF THE REBEL STATES AND TO FACILITATE RESTORATION, SO AS TO PROVIDE PROTECTION FROM A FEW MEN CONTROLLING FORMATION OF A STATE GOVERNMENT WHOSE LOYATY WAS AND IS QUESTIONABLE",Nullification/Secession/Reconstruction,,Government Organization,,Government Management,0.146,-0.989,-0.122,0.123,0.118,0.659,-25.131542,0.565
2017-01-25 03:21:58,RS0400008,40,Senate,8,1867-03-14,,22,21,"TO GO INTO EXECUTIVE SESSION, MOTION MADE DURING CONSIDERA- TION OF H.R. 33.  (P. 105-2)",Nullification/Secession/Reconstruction,,Government Organization,,Government Management,-0.263,-0.348,0.029,-0.271,0.19,0.605,-26.855749,0.536
2017-01-25 03:21:58,RS0400009,40,Senate,9,1867-03-15,,14,32,"TO AMEND THE AMENDMENT OF THE COMMITTEE ON THE JUDICIARY TO BILL H.R. 33, SO AS TO PROVIDE THAT NO CONVENTION SHOULD BE HELD IN THE REBEL STATES FOR THE PURPOSE OF FRAMING A CONSTITUTION UNTIL COMMANDING GENERAL IN EACH DISTRICT SHALL FIRST HAVE MADE A RGISTRATION OF QUALIFIED VOTERS",Nullification/Secession/Reconstruction,,Government Organization,,Government Management,-0.384,0.263,0.066,0.194,0.0,0.696,-26.796476,0.558
2017-01-25 03:21:58,RS0400010,40,Senate,10,1867-03-15,,23,22,"TO GO INTO EXECUTIVE SESSION, MOTION MADE DURING CONSIDERA- TION OF THE BILL H.R. 33.  (P. 118-2)",,,Internal Organization,,Miscellaneous Policy,0.835,0.543,-0.025,0.167,0.273,0.644,-29.97873,0.514
2017-01-25 03:21:58,RS0400011,40,Senate,11,1867-03-16,,18,19,TO AMEND THE AMENDMENT OF THE COMMITTEE ON JUDICIARY TO BILL H.R. 33.  THE AMENDED AMENDMENT PROVIDES FOR SWEARING TO AN OATH OF LOYALTY TO THE UNITED STATES BY PERSONS DESIRING TO VOTE IN THE REBEL STATES.  (P. 137-3),Voting Rights,,Domestic Social Policy,,Civil Liberties,-0.026,0.962,-0.283,-0.379,0.5,0.757,-17.285229,0.627
2017-01-25 03:21:58,RS0400012,40,Senate,12,1867-03-16,,19,25,TO AMEND AMENDMENT OF THE COMMITTEE ON THE JUDICIARY TO H.R. 33.  THE AMENDED AMENDMENT PROVIDES FOR RATIFICATION OF THE NEW CONSTITUTION OF REBEL STATES BY A MAJORITY OF THE VOTES OF ALL THE ELECTORS QUALIFIED AND REGISTERED AS HEREIN SPECIFIED.  (P. 14-2),Nullification/Secession/Reconstruction,,Government Organization,,Government Management,-0.009,-1.0,-0.075,0.146,0.158,0.636,-26.885899,0.543
2017-01-25 03:21:58,RS0400013,40,Senate,13,1867-03-16,,12,33,"TO ADJOURN, MOTION MADE DURING DEBATE ON THE BILL H.R. 33. (P. 147-1)",Nullification/Secession/Reconstruction,,Government Organization,,Government Management,-0.713,-0.688,0.116,-0.345,0.083,0.756,-23.902499,0.588
2017-01-25 03:21:58,RS0400014,40,Senate,14,1867-03-16,,22,21,"TO AMEND THE AMENDMENT OF THE COMMITTEE ON THE JUDICIARY TO BILL H.R. 33.  THE AMENDED AMMENDMENT PROVIDES THAT IF, ACCORDING TO SAID RETURNS, THE CONSTITUTIONS OF THE REBEL STATES SHALL BE RATIFIED BY A MAJORITY OF THE VOTES OF THE QUALIFIED ELECTORS, TE PRESIDENT OF THE CONVENTION SHALL TRANSMIT A COPY OF THE SAME, DULY CERTIFIED",Nullification/Secession/Reconstruction,,Government Organization,,Government Management,0.252,-0.708,0.078,-0.02,0.333,0.674,-27.66533,0.526
2017-01-25 03:21:58,RS0400015,40,Senate,15,1867-03-16,,19,21,"TO AMEND THE AMENDMENT OF THE COMMITTEE ON THE JUDICIARY TO H.R. 33.  THE AMENDED AMENDMENT ADDS THE FOLLOWING-- ""AT LEAST THREE FIFTHS OF ALL THE REGISTERED VOTERS VOTING UPON THE QUESTION OF SUCH RATIFICATION.""  (P. 149-1)",Nullification/Secession/Reconstruction,,Government Organization,,Government Management,0.588,0.71,-0.122,0.268,0.474,0.75,-23.698476,0.553
2017-01-25 03:21:58,RS0400016,40,Senate,16,1867-03-16,,24,14,"TO AMEND AN AMENDMENT OF THE JUDICIARY COMMITTEE TO H.R. 33, SO AS TO PROVIDE THAT ONE-HALF INSTEAD OF THREE-FIFTHS OF VOTERS VOTING UPON THE QUESTION ARE REQUIRED FOR RATIFICA- TION OF NEW STATE CONSTITUTIONS.  (P. 150-3)",Nullification/Secession/Reconstruction,,Government Organization,,Government Management,0.295,0.956,-0.036,0.09,-0.071,0.605,-24.711194,0.522
2017-01-25 03:21:58,RS0400017,40,Senate,17,1867-03-16,,25,13,"TO AMEND THE AMENDMENT FROM THE JUDICIARY COMMITTEE TO H.R. 33, SO AS TO REQUIRE POSTING OF LIST OF QUALIFIED VOTERS, AND  KEEPING OPEN OF BOOKS OF REGISTRY IN EACH TOWNSHIP OR PRECINCT FOR 30 DAYS BEFORE ELECTION. (P. 151-3)",Nullification/Secession/Reconstruction,,Government Organization,,Government Management,0.226,-0.369,-0.076,-0.254,0.0,0.658,-21.925873,0.562
2017-01-25 03:21:58,RS0400018,40,Senate,18,1867-03-16,,22,19,TO RECONSIDER THE VOTE BY WHICH AN AMENDMENT TO THE AMENDMENT OF THE JUDICIARY COMMITTEE WAS ADOPTED.  THE AMENDMENT WAS PROPOSED BY MR. DRAKE.  (P. 158-3),Nullification/Secession/Reconstruction,,Government Organization,,Government Management,0.0,-1.0,-0.11,0.126,0.263,0.659,-24.027508,0.557
2017-01-25 03:21:58,RS0400019,40,Senate,19,1867-03-16,,18,23,"TO AMEND THE AMENDMENT TO H.R. 33 WHICH AMENDED AMENDMENT AUTHORIZES THAT IF A MAJORITY OF THE REGISTERED VOTERS AS AFORESAID, SHALL VOTE IN FAVOR OF SUCH A CONVENTION, THE SAME SHALL BE HELD, OTHERWISE SUCH CONVENTION SHALL NOT ASSEMBLE.  (P. 159-2)",Nullification/Secession/Reconstruction,,Government Organization,,Government Management,0.126,-0.801,-0.164,0.237,0.5,0.78,-22.384892,0.579
2017-01-25 03:21:58,RS0400020,40,Senate,20,1867-03-16,,21,18,"TO AMEND THE AMENDMENT MADE IN THE COMMITTEE OF THE WHOLE TO H.R. 33 BY INSERTING AT END OF SECTION 3 THE FOLLOWING PROVISO-- ""PROVIDED THAT SUCH CONVENTION SHALL NOT BE HELD UNLESS A MAJORITY OF ALL SUCH REGISTERED VOTERS SHALL HAVE VOTED ON THE QUESTIO OF HOLDING SUCH CONVENTION."" (P",Nullification/Secession/Reconstruction,,Government Organization,,Government Management,0.515,0.779,-0.142,0.255,0.389,0.718,-22.491736,0.562
2017-01-25 03:21:58,RS0400021,40,Senate,21,1867-03-16,,26,15,"TO AMEND AN AMENDMENT TO  H.R. 33, SO AS TO PROVIDE FOR AN OATH DENYING PARTICIPATION IN THE WAR AGAINST THE UNITED STATES TO BE GIVEN TO THOSE DESIRING TO VOTE.  (P. 163-3)",Nullification/Secession/Reconstruction,,Government Organization,,Government Management,-0.252,0.968,-0.189,-0.376,0.267,0.732,-20.163343,0.612
2017-01-25 03:21:58,RS0400022,40,Senate,22,1867-03-16,,22,19,"TO AMEND H.R.  33 BY INSERTING AT THE END OF SECTION 4 THE FOLLOWING PROVISO-- ""ELECTORS FOR STATE REPRESENTATIVES SHALL VOTE BY BALLOT ELSE THEY SHALL NOT BE ENTITLED TO REPRESENTATION IN CONGRESS.  (P. 164-1)",Nullification/Secession/Reconstruction,,Government Organization,,Government Management,-0.145,0.989,-0.125,-0.231,0.211,0.634,-24.124895,0.555
2017-01-25 03:21:58,RS0400023,40,Senate,23,1867-03-16,,17,22,TO AMEND AN AMENDMENT TO H.R. 33 SO AS TO PROVIDE THAT NO CONSTITUTION SHALL ENTITLE A STATE TO REPRESENTATION UNLESS IT PROVIDE THAT ALL ELECTIONS SHALL BE BY BALLOT. (P. 165-1),Nullification/Secession/Reconstruction,,Government Organization,,Government Management,0.186,0.416,-0.143,-0.222,0.235,0.667,-21.438019,0.577
2017-01-25 03:21:58,RS0400024,40,Senate,24,1867-03-16,,20,20,TO AMEND AN AMENDMENT TO H.R. 33 SO AS TO AUTHORIZE THAT EACH STATE SHALL PROVIDE IN ITS OWN WAY FOR A SYSTEM OF COMMON SCHOOLS WITHIN ITS OWN BORDERS WITHOUT RACIAL DISCRIMINATION.  (P. 169-1),Civil Rights/Desegregation/Busing/Affirmative Action,,Domestic Social Policy,,Social Welfare,-0.191,0.982,-0.154,-0.362,0.55,0.775,-21.665519,0.582
2017-01-25 03:21:58,RS0400025,40,Senate,25,1867-03-16,,38,2,TO PASS H.R. 33.  (P. 170-3),Nullification/Secession/Reconstruction,,Government Organization,,Government Management,-0.261,0.078,-0.701,-0.402,1.0,1.0,-0.063711,0.998
2017-01-25 03:21:58,RS0400026,40,Senate,26,1867-03-18,,39,5,"TO PASS S.J.RES. 19 (15 STAT L 28, APP 3-30, 1867), A BILL DIRECTING THE SECRETARY OF WAR TO FURNISH CERTAIN ARMS AND AND EQUIPMENT TO THE STATE OF TENNESSEE.  (P. 180-3)",,,Defense Policy Resolutions,,Foreign and Defense Policy,0.014,-0.539,-0.276,-0.384,0.4,0.932,-7.286024,0.847
2017-01-25 03:21:58,RS0400027,40,Senate,27,1867-03-18,,21,25,TO CONCUR TO AN AMENDMENT OF THE HOUSE TO H.R. 33.  THE AMENDMENT REQUIRES A MAJORITY OF ALL THE REGISTERED VOTERS TO ADOPT THE CONSTITUTION WHEN IT IS SUBMITTED TO THEM FOR RATIFICATION.  (P. 182-3),Nullification/Secession/Reconstruction,,Government Organization,,Government Management,0.129,-0.992,-0.089,0.057,0.286,0.674,-28.703767,0.536
2017-01-25 03:21:58,RS0400028,40,Senate,28,1867-03-20,,12,30,"TO CONSENT TO THE APPOINTMENT OF EDWARD HAMMOND AS SURVEYOR OF CUSTOMS, DISTRICT BALTIMORE MARYLAND.",,,Government Organization,,Government Management,0.069,-0.013,0.647,0.861,0.75,0.929,-8.747672,0.812
2017-01-25 03:21:58,RS0400029,40,Senate,29,1867-03-21,,32,7,TO PASS A JOINT RESOLUTION SUSPENDING ALL PROCEEDINGS IN RELATION TO PAYMENT FOR SLAVES DRAFTED OR RECEIVED AS VOLUNTEERS IN THE MILITARY SERVICE OF THE U. S.  (P. 250-1),Civil Rights/Desegregation/Busing/Affirmative Action,,Defense Policy Budget,,Foreign and Defense Policy,0.117,-0.971,-0.233,-0.258,0.429,0.897,-9.431651,0.785
2017-01-25 03:21:58,RS0400030,40,Senate,30,1867-03-22,,26,11,"TO RECOMMIT S.J.RES. 32, REFUNDING TO THE STATE OF INDIANA THE EXPENSES INCURRED FROM QUARTER MASTER AND COMMISSARY STORES AND FOR TRANSPORTATION FURNISHED TO MILITIA OF SAID STATE WHILE ENGAGED IN REPELLING REBEL RAIDS DURING LATE REBELLION, TO THE COMMTTEE ON MILITARY AFFAIRS, WITH INSTRUCTIONS FOR A MORE THOROUGH INVESTIGATION AND PREPARA- TION",,,Defense Policy Budget,,Foreign and Defense Policy,0.667,0.025,0.058,0.456,0.273,0.784,-18.158865,0.612
