date_generated,id,congress,chamber,rollnumber,date,keyvote,question,description,yea,nay,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-02-01 05:20:49,RS0600001,60,Senate,1,1908-03-25,,,NAT BANK ASSOC--AMTS OF LAWFUL US MONEY,2,61,Banking and Finance,U.S. Currency,Budget Special Interest,,Government Management,-0.506,0.863,0.163,-0.267,0.0,0.968,-10.563255,0.846
2017-02-01 05:20:49,RS0600002,60,Senate,2,1908-03-25,,,NAT BANK LAWS RE GOV PRIOR CLAIMS,6,46,Banking and Finance,U.S. Currency,Budget Special Interest,,Government Management,-0.077,0.86,0.135,-0.269,0.167,0.904,-11.227663,0.806
2017-02-01 05:20:49,RS0600003,60,Senate,3,1908-03-25,,,REGS ON NAT BANK ASSOC LOANS,23,26,Banking and Finance,U.S. Currency,Budget Special Interest,,Government Management,0.564,0.568,0.118,-0.317,0.435,0.735,-24.137148,0.611
2017-02-01 05:20:49,RS0600004,60,Senate,4,1908-03-26,,,FILES RE J SMITH MD SEN TO PRIV AND ELECT COMM,29,36,,,Internal Organization,,Miscellaneous Policy,0.366,-0.02,-0.224,0.099,0.552,0.8,-24.00689,0.691
2017-02-01 05:20:49,RS0600005,60,Senate,5,1908-03-26,,,NAT BANK ASSOC--INTEREST PAID TO GOV,19,38,Banking and Finance,U.S. Currency,Budget Special Interest,,Government Management,0.388,0.726,0.522,-1.079,0.789,0.93,-6.84031,0.887
2017-02-01 05:20:49,RS0600006,60,Senate,6,1908-03-26,,,NAT BANK ASSOC--PHIL. BONDS INCLUDE AS GOV DEPOSIT SECURIT,31,21,Banking and Finance,U.S. Currency,Budget Special Interest,Foreign Policy Resolutions,Government Management,0.284,-0.061,-1.294,-0.079,0.667,0.865,-14.323364,0.759
2017-02-01 05:20:49,RS0600007,60,Senate,7,1908-03-27,,,NAT BANK ASSOC--INCLUDE CERTAIN RECEIPTS AMONG SECURITIES,3,56,Banking and Finance,U.S. Currency,Budget Special Interest,,Government Management,-0.29,0.438,0.231,-0.472,0.333,0.966,-6.484579,0.896
2017-02-01 05:20:49,RS0600008,60,Senate,8,1908-03-27,,,NAT BANK ASSOC--AMTS OF LAWFUL US MONEY IN RESERVE,4,49,Banking and Finance,U.S. Currency,Budget Special Interest,,Government Management,-0.18,0.984,0.147,-0.223,0.0,0.925,-10.562356,0.819
2017-02-01 05:20:49,RS0600009,60,Senate,9,1908-03-27,,,NAT BANK ASSOC--TAX ON NOTES IN DEPOSITORS FUND,12,51,Tax rates,Banking and Finance,Budget Special Interest,,Government Management,-0.044,0.506,0.025,-0.377,0.083,0.825,-26.875709,0.653
2017-02-01 05:20:49,RS0600010,60,Senate,10,1908-03-27,,,NAT BANK ASSOC--REGS RE LOANS CREDIT STOCKS,12,44,Banking and Finance,U.S. Currency,Budget Special Interest,,Government Management,0.221,0.974,0.24,-0.423,0.667,0.929,-10.714268,0.826
2017-02-01 05:20:49,RS0600011,60,Senate,11,1908-03-27,,,NAT BANK ASSOC--TREASURY DEP MONEY IN PUB DEPS PER POPULAT,24,50,Banking and Finance,U.S. Currency,Budget Special Interest,,Government Management,0.141,-0.149,0.753,0.269,0.958,0.986,-2.323093,0.969
2017-02-01 05:20:49,RS0600012,60,Senate,12,1908-03-27,,,NAT BANK ASSOC--TREASURY DEP MONEY IN PUB DEPS,22,49,Banking and Finance,U.S. Currency,Budget Special Interest,,Government Management,0.141,-0.155,0.744,0.259,0.955,0.986,-2.318924,0.968
2017-02-01 05:20:49,RS0600013,60,Senate,13,1908-03-27,,,NAT BANK ASSOC LAWS (PASS),53,27,Banking and Finance,U.S. Currency,Budget Special Interest,,Government Management,0.021,-1.0,-0.152,-0.025,0.667,0.887,-24.901204,0.733
2017-02-01 05:20:49,RS0600014,60,Senate,14,1908-04-01,,,AUTH BENTON WALTER CO CONSTRUCT DAM ACROSS SNAKE RIV WASH,47,4,Public Works,,Budget Special Interest,,Government Management,0.412,-0.911,0.104,-0.372,-0.25,0.902,-13.926092,0.761
2017-02-01 05:20:49,RS0600015,60,Senate,15,1908-04-09,,,LIABILITY OF COMMON CARRIERS,37,21,Judiciary,,Domestic Social Policy,,Civil Liberties,0.014,0.088,-0.027,0.55,0.429,0.793,-26.392314,0.634
2017-02-01 05:20:49,RS0600016,60,Senate,16,1908-04-09,,,LIABILITY OF COMMON CARRIERS--LIMIT DAMAGES,25,31,Judiciary,,Domestic Social Policy,,Civil Liberties,-0.123,0.992,0.122,0.158,0.56,0.804,-26.338116,0.625
2017-02-01 05:20:49,RS0600017,60,Senate,17,1908-04-09,,,LIABILITY OF COMMON CARRIERS--STATE CT TRIALS,20,34,Judiciary,,Domestic Social Policy,,Civil Liberties,-0.059,-0.966,0.61,-0.764,0.85,0.944,-7.043081,0.878
2017-02-01 05:20:49,RS0600018,60,Senate,18,1908-04-09,,,LIABILITY OF COMMON CARRIERS--JURIES,37,16,Judiciary,,Domestic Social Policy,,Civil Liberties,0.149,0.065,-0.719,0.29,1.0,1.0,-2.080016,0.962
2017-02-01 05:20:49,RS0600019,60,Senate,19,1908-04-15,,,PURCH US SITES FOR GOV PUB BLDGS,35,22,Public Works,,Budget Special Interest,,Government Management,0.039,-0.239,-0.096,0.191,0.5,0.807,-24.647061,0.649
2017-02-01 05:20:49,RS0600020,60,Senate,20,1908-04-15,,,PURCH DC SITES FOR GOV PUB BLDGS (PASS),33,19,Public Works,,Budget Special Interest,D. C.,Government Management,0.229,0.945,-0.132,0.136,0.474,0.808,-21.972919,0.655
2017-02-01 05:20:49,RS0600021,60,Senate,21,1908-04-20,,,PUB LAND SALE MONEY FOR CONSTRUCT DRAINAGE WORKS,15,37,Public Lands,Public Works,Budget Special Interest,,Government Management,-0.258,0.966,0.274,0.294,0.8,0.942,-9.600892,0.831
2017-02-01 05:20:49,RS0600022,60,Senate,22,1908-04-23,,,NAVY APPS--EMPLOY BEST RESPONSIBLE BIDDER,1,62,,,Defense Policy Budget,,Foreign and Defense Policy,0.0,0.0,0.0,0.0,,,0.0,
2017-02-01 05:20:49,RS0600023,60,Senate,23,1908-04-23,,,NAVY APPS--ELIM REQUIRE FOR US MATERIALS FOR VESSELS (TABL,53,10,,,Defense Policy Budget,Defense Policy Resolutions,Foreign and Defense Policy,-0.31,-0.152,-0.302,0.405,0.6,0.937,-8.03599,0.88
2017-02-01 05:20:49,RS0600024,60,Senate,24,1908-04-23,,,AUTH NAVY TO PURCH US MATERIALS ABROAD IF CHEAPER,25,36,,,Defense Policy Budget,,Foreign and Defense Policy,0.099,-0.201,0.362,-0.707,0.84,0.934,-7.292658,0.887
2017-02-01 05:20:49,RS0600025,60,Senate,25,1908-04-27,,,AUTH PRES TO HAVE CONSTRUCT 4 BATTLESHIPS,26,53,,,Defense Policy Budget,,Foreign and Defense Policy,-0.416,0.271,0.006,-0.357,0.154,0.722,-42.863285,0.581
2017-02-01 05:20:49,RS0600026,60,Senate,26,1908-04-27,,,US MATERIALS FOR VESSELS--BOUGHT ABROAD ADMIT DUTY-FREE,20,42,Tariffs,,Defense Policy Budget,,Foreign and Defense Policy,0.026,-0.006,0.707,0.154,1.0,1.0,-0.082506,0.999
