date_generated,id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,slope,intercept,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood
2017-01-11 04:33:22,RS0830001,83,Senate,1,1953-01-07,,63,33,*****MISSING TEXT*****,Constitutional Amendments,Treaties,Government Organization,Foreign Policy Budget,Government Management,-32.66999459951413,-3.164299513956272,-0.09,-0.224,-0.209,-0.037,0.606,0.865,-31.395404
2017-01-11 04:33:22,RS0830002,83,Senate,2,1953-01-07,CQ,71,22,TAFT MOTION TO TABLE ANDERSON MOTION THAT THE SENATE CONSI- DER THE ADOPTION OF THE RULES OF THE 83RD CONGRESS.,,,Internal Organization,,Miscellaneous Policy,-2.9108982442131115,-0.4501494664803439,-0.133,-0.063,-0.611,-1.214,0.773,0.946,-12.906667
2017-01-11 04:33:22,RS0830003,83,Senate,3,1953-01-26,,81,7,NOMINATION OF CHARLES WILSON TO BE SECRETARY OF DEFENSE.,,,Defense Policy Resolutions,,Foreign and Defense Policy,8.1697767944158,4.0570171926774,-0.595,-0.804,-0.315,0.223,0.286,0.943,-13.532719
2017-01-11 04:33:22,RS0830004,83,Senate,4,1953-01-30,,94,0,S.RES. 46.  RESOLUTION INCREASING THE LIMIT OF EXPENDITURES IN CONNECTION WITH THE INTERNAL SECURITY OF THE U.S.  ON AGREEING TO RESOLUTION.,CIA/Spying/Intelligence,,Budget Special Interest,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-11 04:33:22,RS0830005,83,Senate,5,1953-02-04,,86,6,NOMINATION OF HAROLD TALBOT TO BE SECRETARY OF THE AIR FORCE.,Airlines/Airports/Airline Industry,,Defense Policy Resolutions,,Foreign and Defense Policy,3.9033656298873254,2.0683169301825637,-0.421,0.425,-0.629,0.932,0.0,0.935,-7.285368
2017-01-11 04:33:22,RS0830006,83,Senate,6,1953-02-10,,17,75,"HR. 1979.  AMEND THE REORGANIZATION ACT OF 1949 SO THAT SUCH ACT WILL APPLY TO REORGANIZATION PLANS TRANSMITTED BEFORE APRIL 1, 1955.  MC CLELLAN AMEND. TO PERMIT DISAPPROVAL OF A REORGANIZATION PLAN BY A SIMPLE MAJORITY OF EITHER HOUSE RATHER THAN BY A ONSTITUTIONAL MAJORITY.",,,Government Organization,,Government Management,0.4987128075701552,0.7772585771604094,-0.576,0.49,0.072,-0.835,0.412,0.891,-28.016822
2017-01-11 04:33:22,RS0830007,83,Senate,7,1953-02-27,,94,0,S.RES. 84.  RESOLUTION DEMONSTRATING AGAINST THE TREATMENT OF MINORITY GROUPS BY RUSSIA AND HER SATELLITES; AND HAVING BEEN AMENDED ON IVES MOTION BY ADDING CERTAIN WORDS TO EN- ABLE THE U.N. TO TAKE EFFECTIVE ACTION.  PASSAGE.,Minorities (non-black),,Foreign Policy Resolutions,Foreign Policy Budget,Foreign and Defense Policy,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-11 04:33:22,RS0830008,83,Senate,8,1953-03-09,,71,20,NOMINATION OF ALBERT COLE TO BE ADMINISTRATOR OF THE HOUSING AND HOME FINANCE AGENCY.,Housing/Housing Programs/Rent Control,,Government Organization,,Government Management,-4.599622115751207,-0.8401860182827947,-0.037,-0.67,-0.303,-0.381,0.55,0.901,-21.170639
2017-01-11 04:33:22,RS0830009,83,Senate,9,1953-03-27,,81,13,NOMINATION OF CHARLES BOHLEN TO BE AMBASSADOR TO RUSSIA.,,,Foreign Policy Resolutions,,Foreign and Defense Policy,-4.972303229553258,1.8951399497209598,0.356,0.125,0.239,0.278,0.231,0.894,-24.251444
2017-01-11 04:33:22,RS0830010,83,Senate,10,1953-04-23,,28,65,"S.J. RES. 13.  JOINT RESOLUTION TO CONFIRM AND ESTABLISH THE TITLES OF THE STATES TO LANDS BENEATH NAVIGABLE WATERS WITH- IN STATE BOUNDARIES AND TO NATURAL RESOURCES WITHIN SUCH LANDS AND WATERS, AND TO PROVIDE FOR THE USE AND CONTROL OF SAID LANDS AND ESOURCES",Public Lands,,Budget Special Interest,,Government Management,-11.008941918833141,-1.2083666186721589,-0.041,-0.757,0.276,0.145,0.714,0.914,-25.048167
