id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,slope,intercept,mid.dim1,mid.dim2,spread.dim1,spread.dim2
RS1110001,111,Senate,1,2009-01-11,,66,12,"A bill to designate certain land components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Public Lands,Parks and Conservation,Government Organization,,Government Management,3.7835989572124524,-1.5386742394107178,0.154,-0.956,0.297,-0.454
RS1110002,111,Senate,2,2009-01-14,,68,24,To clarify standing.,Public Lands,Parks and Conservation,Government Organization,,Government Management,4.997305268107499,-1.9268816862646119,0.415,0.147,0.197,-0.228
RS1110003,111,Senate,3,2009-01-15,,73,21,"Ronald Kirk, of Texas, to be United States Trade Representative, with the rank of Ambassador",Public Lands,Parks and Conservation,Government Organization,,Government Management,10.985116516859202,-4.377356353260071,0.312,-0.95,0.283,-0.149
RS1110004,111,Senate,4,2009-01-15,,72,23,To ensure that the general public has full access to our national parks and to promote the health and safety of all visitors and employees of the National Park Service.,Women's Equality,Judiciary,Regulation General Interest,,Social Welfare,-10.20067423303634,3.8022157545716286,0.32,0.538,0.515,0.292
RS1110005,111,Senate,5,2009-01-15,,42,52,To provide for the future energy needs of the United States and eliminate restrictions on the development of renewable energy.,Banking and Finance,,Budget General Interest,Regulation General Interest,Government Management,-20.71365630666869,-0.015969159026765767,-0.049,0.999,-0.154,-0.043
RS1110006,111,Senate,6,2009-01-21,,95,2,To prohibit the use of eminent domain and to ensure that no American has their property forcibly taken from them by authorities granted under this Act.,,,Foreign Policy Resolutions,,Foreign and Defense Policy,,,0.0,0.0,0.0,0.0
RS1110007,111,Senate,7,2009-01-22,,40,55,To require Federal agencies to determine on an annual basis the quantity of land that is owned by each Federal agency and the cost to taxpayers of the ownership of the land.,Women's Equality,Judiciary,Regulation General Interest,,Social Welfare,8.1458612573334,-0.9350237095053402,0.103,-0.096,-0.669,0.475
RS1110008,111,Senate,8,2009-01-22,,53,43,To prohibit funding for congressional earmarks for wasteful and parochial pork projects.,Women's Equality,Judiciary,Regulation General Interest,,Social Welfare,-6.164922825894869,-0.40688490650906134,-0.066,0.0,0.663,0.622
RS1110009,111,Senate,9,2009-01-22,,55,39,"An act to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Women's Equality,Judiciary,Regulation General Interest,,Social Welfare,17.673744537232277,-2.3831968335423377,0.122,-0.227,0.712,-0.233
RS1110010,111,Senate,10,2009-01-22,,55,41,"Elena Kagan, of Massachusetts, to be Solicitor General of the United States",Women's Equality,Judiciary,Regulation General Interest,,Social Welfare,25.60243787307379,-0.5552292544768855,0.012,-0.248,0.332,-0.075
RS1110011,111,Senate,11,2009-01-22,,66,31,A bill to reauthorize and reform the national service laws.,Union Regulation/Davis-Bacon/Situs Picketing,Judiciary,Regulation General Interest,,Social Welfare,-8.414268161472144,2.396580817050728,0.279,0.049,0.467,0.321
RS1110012,111,Senate,12,2009-01-22,,59,38,"David S. Kris, of Maryland, to be an Assistant Attorney General",Women's Equality,Judiciary,Regulation General Interest,,Social Welfare,-45.77194489550696,6.6851953485945925,0.157,-0.501,0.736,0.093
RS1110013,111,Senate,13,2009-01-22,,59,38,"To preserve and protect the free choice of individual employees to form, join, or assist labor organizations, or to refrain from such activities.",Women's Equality,Judiciary,Regulation General Interest,,Social Welfare,-19.21188698437831,2.326671907328479,0.107,0.271,0.382,0.115
RS1110014,111,Senate,14,2009-01-22,,61,36,"To increase the borrowing authority of the Federal Deposit Insurance Corporation, and for other purposes.",Women's Equality,Judiciary,Regulation General Interest,,Social Welfare,11.069845368750325,-2.7123659811250715,0.22,-0.277,0.712,-0.372
RS1110015,111,Senate,15,2009-01-26,,61,34,"To clarify that nonprofit organizations assisted under the Nonprofit Capacity Building Program include certain crisis pregnancy centers, and organizations that serve battered women or victims of rape or incest.",Banking and Finance,,Government Organization,,Government Management,16.38710255430174,-3.9211629203130904,0.282,0.7,0.136,-0.048
RS1110016,111,Senate,16,2009-01-27,,60,37,To express the sense of the Senate regarding the Federal income tax charitable giving.,"Children (aid, infant mortality, etc.)",Public Health,Domestic Social Policy,Budget Special Interest,Social Welfare,17.91684486435804,-2.269095985369421,0.071,-0.997,0.285,-0.092
RS1110017,111,Senate,17,2009-01-27,,97,1,To express the sense of the Senate regarding the Federal income tax deduction for charitable giving.,Banking and Finance,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0
RS1110018,111,Senate,18,2009-01-28,,32,65,"To prohibit ACORN, or organizations affiliated or co-located with ACORN, from receiving assistance under this Act.","Children (aid, infant mortality, etc.)",Public Health,Domestic Social Policy,Budget Special Interest,Social Welfare,16.742240999751008,-4.934476612927045,0.293,-0.029,-0.715,0.247
RS1110019,111,Senate,19,2009-01-28,,37,61,"A bill entitled ""The Edward M. Kennedy Serve America Act, an Act to reauthorize and reform the national service laws.""",Abortion/Care of deformed newborns,,Foreign Policy Resolutions,Regulation Special Interest,Foreign and Defense Policy,-4.9660945221536545,0.4173892782058314,0.077,0.035,-0.656,-0.764
RS1110020,111,Senate,20,2009-01-28,,64,33,To require that certain legislation relating to clean energy technologies not increase electricity or gasoline prices or increase the overall burden on consumers.,"Children (aid, infant mortality, etc.)",Public Health,Domestic Social Policy,Budget Special Interest,Social Welfare,-22.008041474761242,4.779098824912684,0.261,-0.965,0.293,0.077
RS1110021,111,Senate,21,2009-01-28,,36,60,To amend the deficit-neutral reserve fund for climate change legislation to require that such legislation does not increase electricity or gasoline prices.,"Children (aid, infant mortality, etc.)",Public Health,Domestic Social Policy,Budget Special Interest,Social Welfare,-6.300660528601065,0.8780472978780375,0.223,-0.527,-0.39,-0.358
RS1110022,111,Senate,22,2009-01-28,,42,56,"To prohibit the consideration of any budget resolution, or amendment thereto, or conference report thereon, that shows an increase in the public debt, for the period of the current fiscal year through the next 10 years, equal to or greater than the debt accumulated from 1789 to January 20, 2009.","Children (aid, infant mortality, etc.)",Public Health,Domestic Social Policy,Budget Special Interest,Social Welfare,-115.20471779828668,-4.702393429729754,-0.041,0.021,-0.737,-0.037
RS1110023,111,Senate,23,2009-01-28,,47,51,To create runaway debt point of order against consideration of a budget resolution that projects the ratio of public debt to GDP for any fiscal year in excess of 90% to ensure the continued viability of US dollar and prevent doubling or tripling the debt burden on future generations.,"Children (aid, infant mortality, etc.)",Public Health,Domestic Social Policy,Budget Special Interest,Social Welfare,20.39283873424217,2.8026756812760203,-0.157,-0.399,-0.476,0.135
RS1110024,111,Senate,24,2009-01-29,,36,62,To limit the application of the Act to claims resulting from discriminatory compensation decisions that are adopted on or after the date of enactment of the Act.,"Children (aid, infant mortality, etc.)",Public Health,Domestic Social Policy,Budget Special Interest,Social Welfare,-20.52640527563056,4.308018702606787,0.209,0.018,-0.724,-0.204
RS1110025,111,Senate,25,2009-01-29,,54,44,"To restore the budget discipline of the Federal Government by freezing nondefense discretionary spending for fiscal years 2010 and 2011, and limiting the growth of nondefense discretionary spending to one percent annually for fiscal years 2012, 2013, and 2014.","Children (aid, infant mortality, etc.)",Public Health,Domestic Social Policy,Budget Special Interest,Social Welfare,7.54819678971825,0.7023377110746425,-0.09,0.023,0.693,-0.531
RS1110026,111,Senate,26,2009-01-29,,39,59,"To protect middle-income taxpayers from tax increases by providing a point of order against legislation that increase taxes on them, including taxes that arise, directly or indirectly, from Federal revenues derived from climate change or similar legislation.","Children (aid, infant mortality, etc.)",Abortion/Care of deformed newborns,Domestic Social Policy,Budget Special Interest,Social Welfare,-4.637859213481626,0.3222055362917411,0.259,-0.879,-0.425,-0.53
RS1110027,111,Senate,27,2009-01-29,,40,58,To protect small businesses from higher taxes.,"Children (aid, infant mortality, etc.)",Tax rates,Domestic Social Policy,Budget Special Interest,Social Welfare,-3.6415783454003874,0.0772436980557911,-0.023,0.161,-0.204,-0.324
