id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,slope,intercept,mid.dim1,mid.dim2,spread.dim1,spread.dim2
RS0960003,96,Senate,3,1979-02-22,,92,2,"TO AMEND S. RES. 61, BY PROHIBITING THE REDUCTION OF THE POST-CLOTURE CAP BELOW 100 HOURS.  (MOTION PASSED)",,,Internal Organization,,Miscellaneous Policy,,,0.0,0.0,0.0,0.0
RS0960004,96,Senate,4,1979-02-22,,51,43,"TO TABLE THE STEVENS AMENDMENT TO S. RES. 61.  THE STEVENS AMENDMENT DELETES LANGUAGE AND SUBSTITUTES A PROVISION PERMITTING A SENATOR TO YIELD HIS POST-CLOTURE DEBATE TIME TO ANOTHER, BUT PROHIBITS ANY SENATOR FROM ACCUMULATING MORE THAN 3 HOURS.  (MOTION PASSED)",,,Internal Organization,,Miscellaneous Policy,5.125043168542349,0.6550082883601309,-0.192,-0.329,0.249,-0.281
RS0960005,96,Senate,5,1979-02-22,,55,38,TO TABLE THE JAVITS AMENDMENT TO S. RES. 61.  THE JAVITS AMENDMENT EXEMPTS TIME REQUIRED FOR ROLLCALLS FROM THE 100-HOUR CAP ON DEBATE AFTER CLOTURE.  (MOTION PASSED),,,Internal Organization,,Miscellaneous Policy,4.34124658738341,0.36201787978276967,-0.255,-0.745,0.623,-0.83
RS0960006,96,Senate,6,1979-02-22,,79,17,TO AGREE TO S. RES. 61.  (MOTION PASSED),,,Internal Organization,,Miscellaneous Policy,-5.160339493064766,1.4361273098992875,0.375,-0.499,0.654,0.733
RS0960007,96,Senate,7,1979-02-22,,34,54,"TO DISCHARGE THE COMMITTEE ON ENERGY AND NATURAL RESOURCES FROM FURTHER CONSIDERATION OF S. RES. 54, A RESOLUTION DISAPPROVING THE PRESIDENT'S ENERGY ACTION, REGARDING EXEMPTING AVIATION GASOLINE AND KEROSENE-BASE JET FUEL FROM MANDATORY PETROLEUM ALLOCATION REGULATIONS. (MOTION FAILED)",Gasoline rationing/allocation,Energy,Regulation Special Interest,Government Organization,Government Management,-16.074132681224935,-4.021014241537659,-0.243,-0.115,0.214,0.077
RS0960008,96,Senate,8,1979-02-26,,60,29,TO GO INTO EXECUTIVE SESSION TO CONSIDER THE NOMINATION OF LEONARD WOODCOCK TO BE U.S. AMBASSADOR TO THE PEOPLE'S REPUBLIC OF CHINA.  (MOTION PASSED),,,Government Organization,,Government Management,12.89936628873378,-1.2336910016622102,0.172,0.985,0.368,-0.165
RS0960009,96,Senate,9,1979-02-26,,86,9,TO ADVISE AND CONSENT TO THE NOMINATION OF LEONARD WOODCOCK TO BE U.S. AMBASSADOR TO THE PEOPLE'S REPUBLIC OF CHINA. (MOTION PASSED),,,Government Organization,,Government Management,83.69329885864835,-41.402115923617416,0.505,0.863,0.246,-0.017
RS0960010,96,Senate,10,1979-03-07,,34,63,"TO AMEND S. 245, A BILL TO PROMOTE U.S. FOREIGN POLICY THROUGH THE MAINTENANCE OF RELATIONS WITH THE PEOPLE OF TAIWAN, BY SUBSTITUTING THE WORD ""TAIWAN"" FOR ""THE PEOPLE OF TAIWAN.""  (MOTION FAILED)",Taiwan (1979-80),,Foreign Policy Resolutions,Internal Organization,Foreign and Defense Policy,-18.3657310360905,2.1771742761353856,0.17,-0.945,-0.181,-0.057
RS0960011,96,Senate,11,1979-03-07,,59,39,"TO TABLE THE HUMPHREY AMENDMENT TO S. 245.  THE HUMPHREY AMENDMENT ESTABLISHES AN OFFICIAL LIAISON OFFICE FOR THE CONDUCTING OF RELATIONS BETWEEM THE U.S. AND TAIWAN, RATHER THAN THE UNOFFICIAL AMERICAN INSTITUTE PROVIDED FOR IN THE BILL.  (MOTION PASSED)",Taiwan (1979-80),,Foreign Policy Resolutions,,Foreign and Defense Policy,-7.301387370877873,0.07036947784068681,-0.022,0.231,0.178,0.141
RS0960012,96,Senate,12,1979-03-08,,46,50,TO TABLE THE PERCY AMENDMENT TO S. 245.  THE PERCY AMENDMENT STATES THAT THE SECURITY INTERESTS OF THE U.S. WOULD BE THREATENED IF TAIWAN WERE TO BE ATTACKED. (MOTION FAILED),Taiwan (1979-80),,Foreign Policy Resolutions,,Foreign and Defense Policy,-29.019884399568415,-3.8099287867581366,-0.097,-0.995,0.286,0.057
