_id.key,value.types,percentContaining,description,source,
_id,"{""ObjectId"":105013.0}",100,[Internal] MongoDB document identifier,MongoDB,
chamber,"{""String"":105013.0}",100,Chamber in which the vote was taken. 'House' or 'Senate'.,,
congress,"{""Number"":105013.0}",100,"Congress number in which the vote was taken. A single Congress runs for two years, sequentially. The first Congress was March 4, 1789 – March 4, 1791. Note that the Congress differs from the 'session', which lasts for one year.",,
date,"{""String"":105013.0}",100,Date of the vote,,
date_chamber_rollnumber,"{""NumberLong"":105013.0}",100,[Internal],,
id,"{""String"":105013.0}",100,Vote identifier for chamber, congress, rollnumber.
last_updated,"{""Date"":105013.0}",100,[Internal] timestamp at last update,,
nay_count,"{""Number"":105013.0}",100,Number of 'nay' votes cast on roll call,,
nominate,"{""Object"":105013.0}",100,Container field for NOMINATE data,,
nominate.log_likelihood,"{""Number"":105013.0}",100,Log likelihood of the rollcall nominate estimate,,
nominate.mid,"{""Array"":105013.0}",100,NOMINATE rollcall midpoint estimate,,
nominate.spread,"{""Array"":105013.0}",100,NOMINATE rollcall spread estimate,,
party_vote_counts,"{""Object"":105013.0}",100,"Counter for code of each vote cast, stratified by party. See vote_counts.",,
percent_support,"{""Number"":105013.0}",100,"Percent of members voting in support. Where no votes recorded in favor or against, 0 recorded. Alternative calculations may be made from yea_count and nay_count",,
rollnumber,"{""Number"":105013.0}",100,"Sequential counter of votes within each chamber-congress, excluding quorum calls and vacated votes. See also clerk_rollnumber.",,
vote_counts,"{""Object"":105013.0}",100,"Counter for code of each vote cast. 0=not a member, 1=Yea, 2=Paired Yea, 3=Announced Yea, 4=Announced Nay, 5=Paired Nay, 6=Nay, 7=Present (some Congresses, also not used some Congresses), 8=Present (some Congresses, also not used some Congresses), 9=Not Voting. For votes on the election of the Speaker, votes in favor of the winner are coded 1; all others are coded 0.",,
votes,"{""Array"":105013.0}",100,Number of votes cast of each cast code,,
votes.XX.cast_code,"{""Number"":105013.0}",100,"Vote cast be each member voting on the bill.  0=not a member, 1=Yea, 2=Paired Yea, 3=Announced Yea, 4=Announced Nay, 5=Paired Nay, 6=Nay, 7=Present (some Congresses, also not used some Congresses), 8=Present (some Congresses, also not used some Congresses), 9=Not Voting ",,
votes.XX.icpsr,"{""Number"":105013.0}",100,ICPSR of each member voting on the bill.,,
yea_count,"{""Number"":105013.0}",100,"Number of votes cast with code one of 1,2,3.",,
codes,"{""Object"":102806.0}",97.8983554417072,Container field for issue codes,,
short_description,"{""String"":102806.0}",97.8983554417072,Brief description of vote issue,Legacy Voteview.,
codes.Clausen,"{""Array"":102795.0}",97.8878805481226,"Categorization of vote issue according to the Clausen template.   1.  Government Management Environmental control; government regulation of business; natural resource management; government ownership of business; government control of the economy; budget balancing; tax policy; interest rates; management of the bureaucracy; etc. 2.  Social Welfare Social security; public housing; urban renewal; labor regulation; education; urban affairs; employment opportunities and rewards; welfare; medicare; unemployment; minimum wage; legal services; immigration, etc. 3.  Agriculture Price supports and subsidies; commodity control; acreage limitations; etc. 4.  Civil Liberties Civil rights; equality; criminal procedure; privacy; guarantees of the Bill of Rights; slavery; Hatch Act; etc. 5.  Foreign and Defense Policy International policy; foreign aid; aid to international organizations; armament policy; defense procurement; international trade; military pensions; etc. 6.  Miscellaneous Policy Unclassifiable or unidentifiable votes; all votes concerned with internal organization of Congress; procedural motions.",Legacy Voteview,
